validation,metric,label,unit,leagueAverageRaw,subjectTeam,subjectOffenseAdjustedValue,subjectOffenseRank,subjectDefenseAdjustedValue,subjectDefenseRank,comparisonTeam,comparisonOffenseAdjustedValue,comparisonOffenseRank,comparisonDefenseAdjustedValue,comparisonDefenseRank
validated,successRate,Success rate,rate,0.4216594592670715,Oklahoma,0.4172151320511733,75,0.3205034019180694,1,Michigan,0.4683438009588703,19,0.4180290976068199,58
validated,rushSuccessRate,Rush success rate,rate,0.4261042485051432,Oklahoma,0.409214403607918,96,0.3200968825763069,1,Michigan,0.48968319182439435,4,0.41252949581120996,47
validated,passSuccessRate,Pass success rate,rate,0.4157834040495103,Oklahoma,0.4178709063485834,57,0.35729158693830143,8,Michigan,0.4200235349033133,54,0.42753088359599584,79
validated,explosivePlayRate,Explosive-play rate,rate,0.11336138125558136,Oklahoma,0.11192717086984715,70,0.08939157248661539,6,Michigan,0.13041383528966347,19,0.09922613521106834,22
validated,yardsPerPlay,Yards per play,yards,5.754990593822217,Oklahoma,5.799311061067849,67,4.204498989237891,3,Michigan,6.554067454662091,21,4.828808006718218,18
research-only,rushExplosivePlayRate,Rush explosive-play rate,rate,0.13272017225707358,Oklahoma,0.1304269357403474,75,0.10211624049128772,1,Michigan,0.14761866111471847,22,0.1189743419415527,22
research-only,passExplosivePlayRate,Pass explosive-play rate,rate,0.09359550365227798,Oklahoma,0.0927337087421753,73,0.08919594835910986,45,Michigan,0.09910541928701311,39,0.08706905139537867,29
research-only,rushYardsPerAttempt,Rush yards per attempt,yards,4.925462357476402,Oklahoma,4.810010999915827,75,3.3760916163998163,2,Michigan,6.155875184684982,7,4.387139625502899,27
research-only,netPassYardsPerDropback,Net pass yards per dropback,yards,6.647176266974038,Oklahoma,6.596951065961321,68,5.191913742128701,8,Michigan,6.939305449773525,52,5.463057040144166,16
research-only,standardDownSuccessRate,Standard-down success rate,rate,0.47489487982869316,Oklahoma,0.4786735876022315,65,0.36946323385099344,1,Michigan,0.5249271213860901,11,0.4666139665271839,51
research-only,passingDownSuccessRate,Passing-down success rate,rate,0.30225286834100235,Oklahoma,0.28340307123789,109,0.273477653862062,12,Michigan,0.3044136962090875,66,0.3101500088270115,93
research-only,thirdDownConversionRate,Third-down conversion rate,rate,0.40457223307024287,Oklahoma,0.4037734271915554,74,0.35090256252610835,2,Michigan,0.43367157359605685,22,0.3972903184739215,51
research-only,sackRate,Sack rate allowed,rate,0.05551337249131438,Oklahoma,0.06084595809600091,107,0.0683482159075477,2,Michigan,0.05480041022074966,69,0.05710430426281299,50
research-only,havocRateAllowed,Havoc rate allowed,rate,0.09667574508478027,Oklahoma,0.10308713262548275,101,0.14054883491051495,1,Michigan,0.08768004595391199,30,0.10231055980253512,33
