week,gameId,opponent,perspective,metric,actual,expectedLOO,poe,supported
2,401752690,Michigan,offense,successRate,0.4583333333333333,0.4168040176020695,0.04152931573126384,True
2,401752690,Michigan,defense,successRate,0.23636363636363636,0.36932353950565305,0.1329599031420167,True
2,401752690,Michigan,offense,rushSuccessRate,0.4864864864864865,0.3931225427231417,0.09336394376334484,True
2,401752690,Michigan,defense,rushSuccessRate,0.26666666666666666,0.3807637726249463,0.11409710595827965,True
2,401752690,Michigan,offense,passSuccessRate,0.42857142857142855,0.44222210975390885,-0.013650681182480306,True
2,401752690,Michigan,defense,passSuccessRate,0.2,0.3659177729073873,0.1659177729073873,True
2,401752690,Michigan,offense,explosivePlayRate,0.125,0.0997881888222637,0.0252118111777363,True
2,401752690,Michigan,defense,explosivePlayRate,0.07272727272727272,0.10095818439240939,0.028230911665136665,True
2,401752690,Michigan,offense,yardsPerPlay,5.712328767123288,4.841731098795028,0.8705976683282595,True
2,401752690,Michigan,defense,yardsPerPlay,5.321428571428571,4.817122774357594,-0.5043057970709768,True
3,401752703,Temple,offense,successRate,0.5405405405405406,0.4154942659064664,0.1250462746340742,True
3,401752703,Temple,defense,successRate,0.19230769230769232,0.33128614198473916,0.13897844967704684,True
3,401752703,Temple,offense,rushSuccessRate,0.5526315789473685,0.4214138699064675,0.13121770904090096,True
3,401752703,Temple,defense,rushSuccessRate,0.17391304347826086,0.3242467570293597,0.1503337135510988,True
3,401752703,Temple,offense,passSuccessRate,0.5277777777777778,0.3887745636388969,0.1390032141388809,True
3,401752703,Temple,defense,passSuccessRate,0.20689655172413793,0.3841509648998075,0.17725441317566956,True
3,401752703,Temple,offense,explosivePlayRate,0.20270270270270271,0.11283828010209115,0.08986442260061156,True
3,401752703,Temple,defense,explosivePlayRate,0.019230769230769232,0.09086808787292402,0.07163731864215479,True
3,401752703,Temple,offense,yardsPerPlay,6.837837837837838,6.378928414823851,0.45890942301398674,True
3,401752703,Temple,defense,yardsPerPlay,2.2115384615384617,3.9452329938399413,1.7336945323014796,True
4,401752714,Auburn,offense,successRate,0.4262295081967213,0.3696826130135631,0.0565468951831582,True
4,401752714,Auburn,defense,successRate,0.29850746268656714,0.3435954018959989,0.04508793920943177,True
4,401752714,Auburn,offense,rushSuccessRate,0.2916666666666667,0.3476825435253858,-0.056015876858719116,True
4,401752714,Auburn,defense,rushSuccessRate,0.2692307692307692,0.3603633169316338,0.0911325477008646,True
4,401752714,Auburn,offense,passSuccessRate,0.5135135135135135,0.4179327507637414,0.09558076274977206,True
4,401752714,Auburn,defense,passSuccessRate,0.3170731707317073,0.34489305061290165,0.02781987988119433,True
4,401752714,Auburn,offense,explosivePlayRate,0.06557377049180328,0.10770904646935453,-0.04213527597755125,True
4,401752714,Auburn,defense,explosivePlayRate,0.08955223880597014,0.08499432696889146,-0.004557911837078682,True
4,401752714,Auburn,offense,yardsPerPlay,5.032786885245901,4.821492143033061,0.21129474221284017,True
4,401752714,Auburn,defense,yardsPerPlay,4.5,4.120347853665318,-0.37965214633468225,True
6,401752729,Kent State,offense,successRate,0.5223880597014925,0.48469010466395696,0.037697955037535535,True
6,401752729,Kent State,defense,successRate,0.16,0.27252375962732245,0.11252375962732244,True
6,401752729,Kent State,offense,rushSuccessRate,0.5789473684210527,0.4551773543081263,0.12377001411292637,True
6,401752729,Kent State,defense,rushSuccessRate,0.10714285714285714,0.27765809504664846,0.1705152379037913,True
6,401752729,Kent State,offense,passSuccessRate,0.4482758620689655,0.47081319919107334,-0.022537337122107814,True
6,401752729,Kent State,defense,passSuccessRate,0.22727272727272727,0.32582508529746884,0.09855235802474158,True
6,401752729,Kent State,offense,explosivePlayRate,0.16417910447761194,0.128198652931359,0.035980451546252956,True
6,401752729,Kent State,defense,explosivePlayRate,0.06,0.08003984816145804,0.02003984816145804,True
6,401752729,Kent State,offense,yardsPerPlay,5.447761194029851,6.911793816685499,-1.4640326226556484,True
6,401752729,Kent State,defense,yardsPerPlay,2.92,3.843035295234704,0.9230352952347043,True
7,401752736,Texas,offense,successRate,0.375,0.37583148080618606,-0.0008314808061860579,True
7,401752736,Texas,defense,successRate,0.3548387096774194,0.3197147985420366,-0.03512391113538277,True
7,401752736,Texas,offense,rushSuccessRate,0.391304347826087,0.3644671186105652,0.026837229215521785,True
7,401752736,Texas,defense,rushSuccessRate,0.35294117647058826,0.3244352942378788,-0.028505882232709445,True
7,401752736,Texas,offense,passSuccessRate,0.36585365853658536,0.40553298611737376,-0.039679327580788404,True
7,401752736,Texas,defense,passSuccessRate,0.35714285714285715,0.35124230169066617,-0.005900555452190981,True
7,401752736,Texas,offense,explosivePlayRate,0.109375,0.09341900322240526,0.01595599677759474,True
7,401752736,Texas,defense,explosivePlayRate,0.06451612903225806,0.09850782253333239,0.033991693501074324,True
7,401752736,Texas,offense,yardsPerPlay,3.757575757575758,4.945996060111705,-1.1884203025359472,True
7,401752736,Texas,defense,yardsPerPlay,4.870967741935484,4.807765171551424,-0.06320257038406041,True
8,401752744,South Carolina,offense,successRate,0.4307692307692308,0.4006688121805562,0.03010041858867457,True
8,401752744,South Carolina,defense,successRate,0.3225806451612903,0.3201027737708229,-0.002477871390467401,True
8,401752744,South Carolina,offense,rushSuccessRate,0.38461538461538464,0.3785830093868375,0.00603237522854716,True
8,401752744,South Carolina,defense,rushSuccessRate,0.2962962962962963,0.3255072643827865,0.029210968086490208,True
8,401752744,South Carolina,offense,passSuccessRate,0.5,0.4263921176674752,0.0736078823325248,True
8,401752744,South Carolina,defense,passSuccessRate,0.34285714285714286,0.35184013573120254,0.008982992874059681,True
