week,seasonType,opponent,opponentConference,homeAway,neutralSite,result,pointsFor,pointsAgainst,opponentAdjustedOffenseRank,opponentAdjustedDefenseRank,opponentAdjustedOverallRank,opponentAdjustedOffenseScore,opponentAdjustedDefenseScore,opponentAdjustedOverallScore
2,regular,Michigan,Big Ten,home,False,W,24.0,13.0,19,38,19,83.40740740740742,67.55555555555556,75.4814814814815
3,regular,Temple,American Athletic,away,False,W,42.0,3.0,96,120,117,30.666666666666668,20.0,25.333333333333336
4,regular,Auburn,SEC,home,False,W,24.0,17.0,41,17,23,64.59259259259258,83.70370370370371,74.14814814814815
6,regular,Kent State,Mid-American,home,False,W,44.0,0.0,119,130,132,17.185185185185183,9.037037037037036,13.11111111111111
7,regular,Texas,SEC,away,True,L,6.0,23.0,49,12,22,62.96296296296297,86.81481481481481,74.88888888888889
8,regular,South Carolina,SEC,away,False,W,26.0,7.0,66,53,56,52.44444444444444,59.11111111111111,55.77777777777777
9,regular,Ole Miss,SEC,home,False,L,26.0,34.0,10,33,13,89.92592592592592,71.25925925925927,80.5925925925926
10,regular,Tennessee,SEC,away,False,W,33.0,27.0,18,102,53,83.85185185185185,32.44444444444444,58.148148148148145
12,regular,Alabama,SEC,away,False,W,23.0,21.0,42,14,21,64.29629629629629,85.62962962962963,74.96296296296296
13,regular,Missouri,SEC,home,False,W,17.0,6.0,33,6,9,72.74074074074073,94.37037037037037,83.55555555555554
14,regular,LSU,SEC,home,False,W,17.0,13.0,103,20,59,27.111111111111107,82.07407407407408,54.592592592592595
1,postseason,Alabama,SEC,home,False,L,24.0,34.0,42,14,21,64.29629629629629,85.62962962962963,74.96296296296296
