section,metric,label,unit,subjectTeam,subjectValue,comparisonTeam,comparisonValue
offense,pointsPerGame,Points/game,number,Western Michigan,23.153846153846153,Michigan,27.53846153846154
offense,playsPerGame,Offensive plays/game,number,Western Michigan,62.84615384615385,Michigan,63.23076923076923
offense,possessionsPerGame,Possessions/game,number,Western Michigan,10.692307692307692,Michigan,11.23076923076923
offense,rushAttemptsPerGame,Rush attempts/game,number,Western Michigan,42.84615384615385,Michigan,36.15384615384615
offense,dropbacksPerGame,Dropbacks/game,number,Western Michigan,23.0,Michigan,27.153846153846153
offense,rushDecisionRate,Rush decision rate,rate,Western Michigan,0.6507009345794392,Michigan,0.5710814094775213
offense,dropbackRate,Dropback rate,rate,Western Michigan,0.3492990654205608,Michigan,0.4289185905224787
offense,standardDownShare,Standard-down share,rate,Western Michigan,0.6871310507674144,Michigan,0.71712158808933
offense,passingDownShare,Passing-down share,rate,Western Michigan,0.31286894923258557,Michigan,0.28287841191067
offense,successRate,Raw success rate,rate,Western Michigan,0.42502951593860683,Michigan,0.46898263027295284
offense,rushSuccessRate,Raw rush success rate,rate,Western Michigan,0.45126353790613716,Michigan,0.508695652173913
offense,passSuccessRate,Raw pass success rate,rate,Western Michigan,0.37542662116040953,Michigan,0.4161849710982659
offense,explosivePlayRate,Raw explosive rate,rate,Western Michigan,0.10743801652892562,Michigan,0.1327543424317618
offense,rushExplosivePlayRate,Raw rush explosive rate,rate,Western Michigan,0.12815884476534295,Michigan,0.15434782608695652
offense,passExplosivePlayRate,Raw pass explosive rate,rate,Western Michigan,0.06825938566552901,Michigan,0.10404624277456648
offense,yardsPerPlay,Raw yards/play,number,Western Michigan,5.178738317757009,Michigan,6.233292831105711
offense,rushYardsPerAttempt,Raw rush YPA,number,Western Michigan,5.168761220825853,Michigan,6.008510638297873
offense,netPassYardsPerDropback,Raw net pass Y/dropback,number,Western Michigan,5.197324414715719,Michigan,6.53257790368272
offense,thirdDownConversionRate,Raw third-down conversion,rate,Western Michigan,0.3988439306358382,Michigan,0.461038961038961
offense,sackRateAllowed,Sack rate allowed,rate,Western Michigan,0.06354515050167224,Michigan,0.056657223796033995
offense,havocRateAllowed,Havoc rate allowed,rate,Western Michigan,0.08761682242990654,Michigan,0.0851581508515815
defense,pointsAllowedPerGame,Points allowed/game,number,Western Michigan,17.615384615384617,Michigan,20.384615384615383
defense,playsFacedPerGame,Defensive plays/game,number,Western Michigan,61.0,Michigan,64.3076923076923
defense,opponentRushDecisionRate,Opponent rush decision rate,rate,Western Michigan,0.5081148564294632,Michigan,0.4731182795698925
defense,opponentDropbackRate,Opponent dropback rate,rate,Western Michigan,0.4918851435705368,Michigan,0.5268817204301075
defense,successRateAllowed,Raw success rate allowed,rate,Western Michigan,0.38107416879795397,Michigan,0.42558425584255843
defense,rushSuccessRateAllowed,Raw rush success allowed,rate,Western Michigan,0.39950372208436724,Michigan,0.40310077519379844
defense,passSuccessRateAllowed,Raw pass success allowed,rate,Western Michigan,0.36147757255936674,Michigan,0.4460093896713615
defense,explosivePlayRateAllowed,Raw explosive rate allowed,rate,Western Michigan,0.10869565217391304,Michigan,0.09225092250922509
defense,rushExplosivePlayRateAllowed,Raw rush explosive allowed,rate,Western Michigan,0.14640198511166252,Michigan,0.10594315245478036
defense,passExplosivePlayRateAllowed,Raw pass explosive allowed,rate,Western Michigan,0.06860158311345646,Michigan,0.07981220657276995
defense,yardsPerPlayAllowed,Raw yards/play allowed,number,Western Michigan,5.297128589263421,Michigan,5.037037037037037
defense,rushYardsPerAttemptAllowed,Raw rush YPA allowed,number,Western Michigan,5.226044226044226,Michigan,4.313131313131313
defense,netPassYardsPerDropbackAllowed,Raw net pass Y/dropback allowed,number,Western Michigan,5.370558375634518,Michigan,5.687074829931973
defense,thirdDownConversionRateAllowed,Raw third-down conversion allowed,rate,Western Michigan,0.32926829268292684,Michigan,0.39156626506024095
defense,sackRateGenerated,Sack rate generated,rate,Western Michigan,0.07868020304568528,Michigan,0.061224489795918366
defense,havocRateGenerated,Havoc rate generated,rate,Western Michigan,0.10099750623441396,Michigan,0.10645933014354067
