definition_version,season,week,season_type,game_id,team,team_id,opponent,opponent_id,home_away,neutral_site,points_for,points_against,successRate_offense_actual,successRate_offense_expected,successRate_offense_poe,successRate_offense_subject_exposure,successRate_offense_opponent_exposure,successRate_offense_network_supported,successRate_defense_actual,successRate_defense_expected,successRate_defense_poe,successRate_defense_subject_exposure,successRate_defense_opponent_exposure,successRate_defense_network_supported,rushSuccessRate_offense_actual,rushSuccessRate_offense_expected,rushSuccessRate_offense_poe,rushSuccessRate_offense_subject_exposure,rushSuccessRate_offense_opponent_exposure,rushSuccessRate_offense_network_supported,rushSuccessRate_defense_actual,rushSuccessRate_defense_expected,rushSuccessRate_defense_poe,rushSuccessRate_defense_subject_exposure,rushSuccessRate_defense_opponent_exposure,rushSuccessRate_defense_network_supported,passSuccessRate_offense_actual,passSuccessRate_offense_expected,passSuccessRate_offense_poe,passSuccessRate_offense_subject_exposure,passSuccessRate_offense_opponent_exposure,passSuccessRate_offense_network_supported,passSuccessRate_defense_actual,passSuccessRate_defense_expected,passSuccessRate_defense_poe,passSuccessRate_defense_subject_exposure,passSuccessRate_defense_opponent_exposure,passSuccessRate_defense_network_supported,explosivePlayRate_offense_actual,explosivePlayRate_offense_expected,explosivePlayRate_offense_poe,explosivePlayRate_offense_subject_exposure,explosivePlayRate_offense_opponent_exposure,explosivePlayRate_offense_network_supported,explosivePlayRate_defense_actual,explosivePlayRate_defense_expected,explosivePlayRate_defense_poe,explosivePlayRate_defense_subject_exposure,explosivePlayRate_defense_opponent_exposure,explosivePlayRate_defense_network_supported,yardsPerPlay_offense_actual,yardsPerPlay_offense_expected,yardsPerPlay_offense_poe,yardsPerPlay_offense_subject_exposure,yardsPerPlay_offense_opponent_exposure,yardsPerPlay_offense_network_supported,yardsPerPlay_defense_actual,yardsPerPlay_defense_expected,yardsPerPlay_defense_poe,yardsPerPlay_defense_subject_exposure,yardsPerPlay_defense_opponent_exposure,yardsPerPlay_defense_network_supported
schedule-adjusted-game-analysis-v1,2025,1,postseason,401778319,BYU,252,Georgia Tech,59,home,True,25.0,21.0,0.5573770491803278,0.47130121142967096,0.08607583775065686,770.0,684.0,True,0.4666666666666667,0.4812226090024265,0.014555942335759853,765.0,699.0,True,0.43478260869565216,0.4717926237445369,-0.03701001504888474,429.0,348.0,True,0.4166666666666667,0.48916843402158317,0.07250176735491648,372.0,384.0,True,0.631578947368421,0.4464202201353436,0.1851587272330774,341.0,336.0,True,0.5,0.44669155141602573,-0.053308448583974266,393.0,315.0,True,0.08196721311475409,0.1256545984102781,-0.043687385295524,772.0,684.0,True,0.08333333333333333,0.11185909512486558,0.028525761791532253,765.0,699.0,True,6.854838709677419,6.726275181388188,0.1285635282892308,789.0,699.0,True,6.212121212121212,6.214735323766445,0.0026141116452329527,780.0,716.0,True
schedule-adjusted-game-analysis-v1,2025,2,regular,401754526,BYU,252,Stanford,24,home,False,27.0,3.0,0.40625,0.47617513666867695,-0.06992513666867695,767.0,720.0,True,0.38461538461538464,0.3642548666086282,-0.020360518006756423,773.0,692.0,True,0.42857142857142855,0.47058725239052357,-0.04201582381909502,417.0,301.0,True,0.38095238095238093,0.3752941847441964,-0.005658196208184529,375.0,322.0,True,0.3793103448275862,0.4664330765848784,-0.08712273175729224,350.0,419.0,True,0.3870967741935484,0.36654756260631005,-0.020549211587238325,398.0,370.0,True,0.078125,0.12204731984819774,-0.043922319848197736,769.0,720.0,True,0.038461538461538464,0.08635474024510623,0.04789320178356776,773.0,692.0,True,4.955882352941177,6.76380723760628,-1.8079248846651037,783.0,744.0,True,3.207547169811321,4.722278675599777,1.5147315057884563,793.0,713.0,True
schedule-adjusted-game-analysis-v1,2025,4,regular,401756898,BYU,252,East Carolina,151,away,False,34.0,13.0,0.42105263157894735,0.43810226041119876,-0.017049628832251418,774.0,732.0,True,0.41333333333333333,0.43400629199352114,0.020672958660187812,750.0,813.0,True,0.36363636363636365,0.4325530664411995,-0.06891670280483586,419.0,331.0,True,0.42424242424242425,0.4321409543772494,0.007898530134825166,363.0,460.0,True,0.5,0.4225350085246161,0.07746499147538388,355.0,401.0,True,0.40476190476190477,0.445930796799288,0.04116889203738322,387.0,353.0,True,0.17543859649122806,0.10632488396662715,0.06911371252460091,776.0,732.0,True,0.09333333333333334,0.09165731658118924,-0.0016760167521440994,750.0,813.0,True,7.559322033898305,6.037206388100164,1.5221156457981415,792.0,744.0,True,5.413333333333333,5.263221232203981,-0.15011210112935203,771.0,827.0,True
schedule-adjusted-game-analysis-v1,2025,5,regular,401756903,BYU,252,Colorado,38,away,False,24.0,21.0,0.484375,0.4464927509142371,0.037882249085762876,767.0,726.0,True,0.54,0.34124569473489585,-0.19875430526510418,775.0,694.0,True,0.4857142857142857,0.45210725723918166,0.03360702847510405,417.0,440.0,True,0.59375,0.34559151522164067,-0.24815848477835933,364.0,339.0,True,0.4827586206896552,0.41975540752309465,0.06300321316656055,350.0,286.0,True,0.4444444444444444,0.3700929664824634,-0.074351477961981,411.0,355.0,True,0.15625,0.12858782337789967,0.027662176622100326,769.0,726.0,True,0.08,0.10118904679812578,0.021189046798125777,775.0,694.0,True,6.21875,6.6136093046518525,-0.3948593046518525,787.0,738.0,True,5.5,4.741892886992579,-0.7581071130074211,794.0,717.0,True
schedule-adjusted-game-analysis-v1,2025,6,regular,401756909,BYU,252,West Virginia,277,home,False,38.0,24.0,0.5625,0.4522577728090486,0.11024222719095139,767.0,690.0,True,0.3709677419354839,0.3455134647909569,-0.02545427714452697,763.0,664.0,True,0.5609756097560976,0.425762924955542,0.1352126848005556,411.0,354.0,True,0.34782608695652173,0.37420277694416926,0.026376689987647528,350.0,374.0,True,0.5652173913043478,0.4682832931521813,0.09693409815216647,356.0,336.0,True,0.4375,0.3320103114091295,-0.10548968859087049,413.0,290.0,True,0.1875,0.1199302300384761,0.0675697699615239,769.0,690.0,True,0.06451612903225806,0.0829334977576847,0.01841736872542664,763.0,666.0,True,8.390625,6.407029973887949,1.9835950261120514,787.0,715.0,True,4.903225806451613,4.500627550523717,-0.402598255927896,784.0,687.0,True
schedule-adjusted-game-analysis-v1,2025,7,regular,401756916,BYU,252,Arizona,12,away,False,33.0,27.0,0.45454545454545453,0.42212847027156586,0.03241698427388867,754.0,685.0,True,0.35064935064935066,0.4302576004651246,0.07960824981577397,748.0,724.0,True,0.5306122448979592,0.442639782117484,0.08797246278047521,403.0,362.0,True,0.42424242424242425,0.42022917532643733,-0.004013248915986922,363.0,345.0,True,0.32142857142857145,0.3910911926517856,-0.06966262122321415,351.0,323.0,True,0.29545454545454547,0.44337707547170185,0.14792253001715638,385.0,379.0,True,0.08860759493670886,0.10337366933489432,-0.01476607439818546,754.0,685.0,True,0.06493506493506493,0.11534650674635415,0.05041144181128922,748.0,724.0,True,5.506329113924051,5.267409127832002,0.238919986092049,772.0,703.0,True,4.9743589743589745,5.553513676204946,0.5791547018459715,768.0,747.0,True
schedule-adjusted-game-analysis-v1,2025,8,regular,401756924,BYU,252,Utah,254,home,False,24.0,21.0,0.417910447761194,0.45080154518434407,-0.03289109742315005,764.0,715.0,True,0.4142857142857143,0.461971810076858,0.04768609579114369,755.0,753.0,True,0.45,0.484500706808537,-0.03450070680853701,412.0,374.0,True,0.35294117647058826,0.47543464666716684,0.12249347019657858,362.0,449.0,True,0.37037037037037035,0.40479426786639583,-0.03442389749602548,352.0,341.0,True,0.4722222222222222,0.4241444017899241,-0.048077820432298135,393.0,304.0,True,0.16417910447761194,0.133494965099672,0.03068413937793993,766.0,716.0,True,0.15714285714285714,0.11292043407040146,-0.04422242307245568,755.0,753.0,True,5.641791044776119,6.132424734875232,-0.49063369009911284,784.0,741.0,True,6.314285714285714,6.189419023379817,-0.12486669090589686,776.0,782.0,True
schedule-adjusted-game-analysis-v1,2025,9,regular,401756931,BYU,252,Iowa State,66,away,False,41.0,27.0,0.38333333333333336,0.45270181622316413,-0.06936848288983077,771.0,603.0,True,0.5230769230769231,0.4235158619254069,-0.0995610611515162,760.0,656.0,True,0.44,0.4330871105740509,0.006912889425949087,427.0,296.0,True,0.5517241379310345,0.4383631300134354,-0.11336100791759907,367.0,372.0,True,0.34285714285714286,0.44906738363154325,-0.10621024077440039,344.0,307.0,True,0.5,0.4111777971766268,-0.08882220282337322,393.0,284.0,True,0.13333333333333333,0.11358884751049908,0.01974448582283425,773.0,603.0,True,0.12307692307692308,0.09962032162757171,-0.02345660144935137,760.0,656.0,True,6.40625,5.963926361517891,0.442323638482109,787.0,626.0,True,7.573529411764706,5.003048388538629,-2.570481023226076,778.0,673.0,True
schedule-adjusted-game-analysis-v1,2025,11,regular,401756945,BYU,252,Texas Tech,2641,away,False,7.0,29.0,0.2857142857142857,0.370609465298677,-0.0848951795843913,768.0,738.0,True,0.32432432432432434,0.431883865974682,0.10755954165035764,751.0,856.0,True,0.19230769230769232,0.3844396701496256,-0.19213197784193328,426.0,326.0,True,0.3333333333333333,0.4232453824545713,0.08991204912123796,357.0,443.0,True,0.35135135135135137,0.3674352034582869,-0.016083852106935526,342.0,412.0,True,0.3142857142857143,0.44736930380237905,0.13308358951666477,394.0,413.0,True,0.031746031746031744,0.0907543258354509,-0.059008294089419155,770.0,738.0,True,0.12162162162162163,0.11415054334213652,-0.007471078279485108,751.0,856.0,True,4.126984126984127,4.629829016234579,-0.5028448892504516,788.0,758.0,True,4.906666666666666,5.741497248720142,0.8348305820534758,771.0,876.0,True
schedule-adjusted-game-analysis-v1,2025,12,regular,401756950,BYU,252,TCU,2628,home,False,44.0,13.0,0.4852941176470588,0.4405041456257677,0.04478997202129115,763.0,708.0,True,0.36363636363636365,0.4160737205728407,0.05243735693647705,770.0,734.0,True,0.4444444444444444,0.4246100426953143,0.019834401749130093,416.0,348.0,True,0.4,0.39437175434568755,-0.005628245654312469,366.0,343.0,True,0.53125,0.4511243079556177,0.0801256920443823,347.0,360.0,True,0.32,0.43605998688456116,0.11605998688456115,404.0,391.0,True,0.08823529411764706,0.12035825511753442,-0.03212296099988736,765.0,709.0,True,0.10909090909090909,0.0926165504588852,-0.016474358632023886,770.0,734.0,True,6.414285714285715,5.86656994429324,0.5477157699924744,781.0,730.0,True,5.339285714285714,5.443277620502493,0.10399190621677867,790.0,760.0,True
