definition_version,season,week,season_type,game_id,team,team_id,opponent,opponent_id,home_away,neutral_site,points_for,points_against,successRate_offense_actual,successRate_offense_expected,successRate_offense_poe,successRate_offense_subject_exposure,successRate_offense_opponent_exposure,successRate_offense_network_supported,successRate_defense_actual,successRate_defense_expected,successRate_defense_poe,successRate_defense_subject_exposure,successRate_defense_opponent_exposure,successRate_defense_network_supported,rushSuccessRate_offense_actual,rushSuccessRate_offense_expected,rushSuccessRate_offense_poe,rushSuccessRate_offense_subject_exposure,rushSuccessRate_offense_opponent_exposure,rushSuccessRate_offense_network_supported,rushSuccessRate_defense_actual,rushSuccessRate_defense_expected,rushSuccessRate_defense_poe,rushSuccessRate_defense_subject_exposure,rushSuccessRate_defense_opponent_exposure,rushSuccessRate_defense_network_supported,passSuccessRate_offense_actual,passSuccessRate_offense_expected,passSuccessRate_offense_poe,passSuccessRate_offense_subject_exposure,passSuccessRate_offense_opponent_exposure,passSuccessRate_offense_network_supported,passSuccessRate_defense_actual,passSuccessRate_defense_expected,passSuccessRate_defense_poe,passSuccessRate_defense_subject_exposure,passSuccessRate_defense_opponent_exposure,passSuccessRate_defense_network_supported,explosivePlayRate_offense_actual,explosivePlayRate_offense_expected,explosivePlayRate_offense_poe,explosivePlayRate_offense_subject_exposure,explosivePlayRate_offense_opponent_exposure,explosivePlayRate_offense_network_supported,explosivePlayRate_defense_actual,explosivePlayRate_defense_expected,explosivePlayRate_defense_poe,explosivePlayRate_defense_subject_exposure,explosivePlayRate_defense_opponent_exposure,explosivePlayRate_defense_network_supported,yardsPerPlay_offense_actual,yardsPerPlay_offense_expected,yardsPerPlay_offense_poe,yardsPerPlay_offense_subject_exposure,yardsPerPlay_offense_opponent_exposure,yardsPerPlay_offense_network_supported,yardsPerPlay_defense_actual,yardsPerPlay_defense_expected,yardsPerPlay_defense_poe,yardsPerPlay_defense_subject_exposure,yardsPerPlay_defense_opponent_exposure,yardsPerPlay_defense_network_supported
schedule-adjusted-game-analysis-v1,2025,1,postseason,401778330,Michigan,130,Texas,251,away,True,27.0,41.0,0.39473684210526316,0.43108585304364677,-0.03634901093838361,730.0,754.0,True,0.47540983606557374,0.41418258598247026,-0.06122725008310348,752.0,740.0,True,0.5294117647058824,0.4338558845446692,0.09555588016121314,426.0,338.0,True,0.4827586206896552,0.41379741513747764,-0.06896120555217755,358.0,352.0,True,0.2857142857142857,0.4221112955487563,-0.13639700983447062,304.0,416.0,True,0.46875,0.4159013998132972,-0.05284860018670279,394.0,388.0,True,0.10526315789473684,0.11171898547033578,-0.006455827575598941,730.0,754.0,True,0.19672131147540983,0.0962317483781786,-0.10048956309723123,752.0,741.0,True,4.69620253164557,5.702115133634754,-1.0059126019891842,744.0,780.0,True,6.8059701492537314,5.186488323552791,-1.61948182570094,770.0,754.0,True
schedule-adjusted-game-analysis-v1,2025,1,regular,401752808,Michigan,130,New Mexico,167,home,False,34.0,17.0,0.43548387096774194,0.4654590985798639,-0.029975227612121957,744.0,679.0,True,0.3972602739726027,0.39143125620517566,-0.005829017767427058,740.0,643.0,True,0.4482758620689655,0.4746340119879683,-0.02635814991900276,431.0,321.0,True,0.24,0.40825091634436705,0.16825091634436706,362.0,353.0,True,0.42424242424242425,0.43016131767849886,-0.0059188934360746015,313.0,358.0,True,0.4791666666666667,0.3877068201810618,-0.0914598464856049,378.0,290.0,True,0.11290322580645161,0.1257030192596096,-0.012799793453158001,744.0,679.0,True,0.0684931506849315,0.09987141252542661,0.03137826184049511,740.0,643.0,True,7.306451612903226,6.349486106995474,0.9569655059077515,761.0,689.0,True,3.6133333333333333,4.781193715789811,1.1678603824564773,762.0,661.0,True
schedule-adjusted-game-analysis-v1,2025,2,regular,401752690,Michigan,130,Oklahoma,201,away,False,13.0,24.0,0.23636363636363636,0.36933155519443145,-0.1329679188307951,751.0,695.0,True,0.4583333333333333,0.41679562383419877,-0.041537709499134545,741.0,687.0,True,0.26666666666666666,0.3807796153178971,-0.11411294865123045,430.0,315.0,True,0.4864864864864865,0.39310391784544624,-0.09338256864104028,350.0,323.0,True,0.2,0.365937460275509,-0.16593746027550899,321.0,380.0,True,0.42857142857142855,0.44220490848047206,0.013633479909043511,391.0,364.0,True,0.07272727272727272,0.10096830989052817,-0.028241037163255447,751.0,696.0,True,0.125,0.09977857705338197,-0.025221422946618027,741.0,687.0,True,5.321428571428571,4.817146828481949,0.5042817429466222,767.0,707.0,True,5.712328767123288,4.841706973279917,-0.8706217938433705,764.0,705.0,True
schedule-adjusted-game-analysis-v1,2025,3,regular,401752839,Michigan,130,Central Michigan,2117,home,False,63.0,3.0,0.6447368421052632,0.47539819102180997,0.1693386510834532,730.0,678.0,True,0.18,0.40103020657887883,0.22103020657887884,763.0,649.0,True,0.6346153846153846,0.5010540287980931,0.13356135581729145,408.0,312.0,True,0.14285714285714285,0.3838790232172545,0.24102188036011163,359.0,427.0,True,0.6666666666666666,0.41567049543902107,0.25099617122764556,322.0,366.0,True,0.22727272727272727,0.4445079713043554,0.2172352440316281,404.0,222.0,True,0.25,0.1287122272617899,0.12128777273821009,730.0,678.0,True,0.04,0.09279406331122689,0.05279406331122689,763.0,649.0,True,7.3544303797468356,7.0877404038419245,0.26668997590491106,744.0,697.0,True,2.5961538461538463,4.215244625077732,1.6190907789238858,785.0,664.0,True
schedule-adjusted-game-analysis-v1,2025,4,regular,401752846,Michigan,130,Nebraska,158,away,False,30.0,27.0,0.3888888888888889,0.4713827833262032,-0.08249389443731431,752.0,645.0,True,0.43478260869565216,0.45580183984625045,0.021019231150598283,744.0,656.0,True,0.4666666666666667,0.5083641353960582,-0.04169746872939151,430.0,369.0,True,0.375,0.4466187314550222,0.07161873145502218,363.0,340.0,True,0.2916666666666667,0.39977567325577307,-0.10810900658910638,322.0,276.0,True,0.4666666666666667,0.46029904881071537,-0.006367617855951302,381.0,316.0,True,0.12962962962962962,0.13751285112302855,-0.007883221493398929,752.0,645.0,True,0.10144927536231885,0.10394184538578055,0.0024925700234617043,744.0,656.0,True,7.277777777777778,6.240091802801008,1.0376859749767693,769.0,666.0,True,5.385714285714286,5.096585200440236,-0.28912908527405,767.0,672.0,True
schedule-adjusted-game-analysis-v1,2025,6,regular,401752856,Michigan,130,Wisconsin,275,home,False,24.0,10.0,0.5666666666666667,0.46863500823469423,0.09803165843197242,746.0,656.0,True,0.4107142857142857,0.37948781395709924,-0.031226471757186458,757.0,607.0,True,0.5625,0.5003045217361851,0.062195478263814885,428.0,313.0,True,0.37037037037037035,0.3744693184999233,0.004098948129552971,360.0,355.0,True,0.5714285714285714,0.41982120688077523,0.15160736454779616,318.0,343.0,True,0.4482758620689655,0.3961227504348652,-0.0521531116341003,397.0,252.0,True,0.15,0.11815671957935661,0.03184328042064338,746.0,656.0,True,0.05357142857142857,0.08385787845302017,0.030286449881591605,757.0,607.0,True,7.166666666666667,5.901035245696159,1.2656314209705082,763.0,668.0,True,4.5,4.260460524922639,-0.23953947507736117,781.0,618.0,True
schedule-adjusted-game-analysis-v1,2025,7,regular,401752868,Michigan,130,USC,30,away,False,13.0,31.0,0.45454545454545453,0.46697437349844045,-0.012428918952985923,751.0,708.0,True,0.6153846153846154,0.4640016290184926,-0.1513829863661228,748.0,723.0,True,0.4642857142857143,0.5133230344222643,-0.049037320136550044,432.0,341.0,True,0.5277777777777778,0.4236641383503949,-0.10411363942738289,351.0,359.0,True,0.4444444444444444,0.3959714524899474,0.048472991954497,319.0,367.0,True,0.7241379310344828,0.4973730364423241,-0.22676489459215865,397.0,364.0,True,0.10909090909090909,0.12386613840882477,-0.01477522931791568,751.0,708.0,True,0.13846153846153847,0.13071412202873373,-0.0077474164328047435,748.0,723.0,True,5.8545454545454545,6.201732629907233,-0.34718717536177834,768.0,723.0,True,7.075757575757576,6.770362746061736,-0.30539482969583975,771.0,751.0,True
schedule-adjusted-game-analysis-v1,2025,8,regular,401752873,Michigan,130,Washington,264,home,False,24.0,7.0,0.47058823529411764,0.4407209747873817,0.029867260506735938,738.0,691.0,True,0.49019607843137253,0.4615128643701512,-0.028683214061221318,762.0,658.0,True,0.46153846153846156,0.4674552978442725,-0.005916836305810913,421.0,302.0,True,0.5238095238095238,0.4198009187899676,-0.10400860501955622,366.0,342.0,True,0.4827586206896552,0.40522985273153084,0.07752876795812436,317.0,389.0,True,0.4666666666666667,0.4858636997744431,0.01919703310777643,396.0,316.0,True,0.14705882352941177,0.11009803422788647,0.0369607893015253,738.0,691.0,True,0.058823529411764705,0.11469161838011961,0.055868088968354906,762.0,658.0,True,6.132352941176471,5.637065790858908,0.4952871503175631,755.0,707.0,True,5.294117647058823,5.691447639248238,0.3973299921894142,786.0,678.0,True
schedule-adjusted-game-analysis-v1,2025,9,regular,401752881,Michigan,130,Michigan State,127,away,False,31.0,20.0,0.4603174603174603,0.4743336509031407,-0.014016190585680433,743.0,612.0,True,0.3582089552238806,0.43722733177140405,0.07901837654752347,746.0,610.0,True,0.5111111111111111,0.49641518094367115,0.014695930167439919,415.0,290.0,True,0.4375,0.4190878158995317,-0.0184121841004683,355.0,287.0,True,0.3333333333333333,0.42349784117035577,-0.09016450783702246,328.0,322.0,True,0.2857142857142857,0.45600898171069654,0.17029469599641084,391.0,323.0,True,0.1111111111111111,0.12854940943626897,-0.017438298325157864,743.0,612.0,True,0.05970149253731343,0.10415293537680505,0.044451442839491616,746.0,612.0,True,5.859375,6.733646956090718,-0.874271956090718,759.0,633.0,True,4.28169014084507,4.950297833623855,0.6686076927787852,766.0,626.0,True
schedule-adjusted-game-analysis-v1,2025,10,regular,401752890,Michigan,130,Purdue,2509,home,False,21.0,16.0,0.5,0.4962491097097928,0.0037508902902071983,748.0,616.0,True,0.47619047619047616,0.39960503310485357,-0.0765854430856226,750.0,606.0,True,0.5833333333333334,0.5118753318070006,0.07145800152633275,424.0,358.0,True,0.4444444444444444,0.388222872144836,-0.05622157229960845,351.0,261.0,True,0.36363636363636365,0.4601278622487535,-0.09649149861238987,324.0,258.0,True,0.5185185185185185,0.41166146792841096,-0.10685705059010753,399.0,345.0,True,0.15517241379310345,0.16047687776016803,-0.005304463967064577,748.0,616.0,True,0.06349206349206349,0.09773152476400074,0.03423946127193725,750.0,606.0,True,6.433333333333334,7.407458470819718,-0.9741251374863849,763.0,625.0,True,4.453125,4.862931346316249,0.4098063463162491,773.0,617.0,True
