season,home,away,predicted_margin,actual_margin,error,neutral
2023,Baylor,Texas State,38.4,-11.0,49.4,False
2021,Navy,Marshall,6.9,-42.0,48.9,False
2022,Hawai'i,Vanderbilt,-5.3,-53.0,47.7,False
2021,Rutgers,Temple,1.0,47.0,-46.0,False
2021,NC State,South Florida,4.8,45.0,-40.2,False
2019,South Florida,Wisconsin,-10.2,-49.0,38.8,False
2024,Houston,UNLV,17.3,-20.0,37.3,False
2025,South Florida,Boise State,-10.2,27.0,-37.2,False
2023,Oklahoma,Arkansas State,36.3,73.0,-36.7,False
2025,Michigan,New Mexico,53.5,17.0,36.5,False
2021,UCLA,LSU,-25.3,11.0,-36.3,False
2018,Hawai'i,Navy,-18.0,18.0,-36.0,False
2023,Duke,Clemson,-13.4,21.0,-34.4,False
2019,Tennessee,Georgia State,25.5,-8.0,33.5,False
2019,Illinois,Akron,5.7,39.0,-33.3,False
2024,Florida State,Boston College,17.5,-15.0,32.5,False
2024,Florida,Miami,7.9,-24.0,31.9,False
2025,Virginia,Coastal Carolina,10.0,41.0,-31.0,False
2025,Florida State,Alabama,-16.6,14.0,-30.6,False
2022,North Texas,SMU,-7.8,-38.0,30.2,False
