team,conference,field_pct,conference_champion_pct,bye_pct,at_large_pct,avg_seed_when_in_field,expected_wins,median_wins
Notre Dame,FBS Independents,94.8,0.0,73.45,94.8,3.18,11.08,11
Ohio State,Big Ten,91.0,47.2,64.9,43.8,3.54,10.12,10
Oregon,Big Ten,90.35,31.6,59.55,58.75,3.87,9.24,9
Miami,ACC,81.65,67.1,24.7,14.55,6.72,8.93,9
Georgia,SEC,74.6,41.3,36.25,33.3,5.11,9.06,9
Texas Tech,Big 12,58.4,39.25,13.4,19.15,7.32,8.9,9
USC,Big Ten,57.3,8.9,21.0,48.4,5.92,9.03,9
Texas,SEC,54.75,22.35,17.95,32.4,6.36,8.97,9
Michigan,Big Ten,50.3,6.65,14.85,43.65,6.36,8.77,9
Alabama,SEC,45.7,14.7,15.05,31.0,6.23,8.14,8
Utah,Big 12,40.35,23.9,7.75,16.45,7.81,8.2,8
South Florida,American Athletic,28.35,25.7,3.75,14.1,7.7,7.9,8
Boise State,Pac-12,25.7,54.45,2.35,9.0,8.22,6.8,7
BYU,Big 12,25.05,14.7,3.3,10.35,8.42,7.42,7
Texas A&M,SEC,24.95,6.0,5.45,18.95,7.08,6.61,7
Washington,Big Ten,21.5,2.1,3.55,19.4,7.4,7.41,7
Ole Miss,SEC,20.6,6.25,3.65,14.35,7.35,7.39,7
Kansas State,Big 12,19.85,10.8,2.1,9.05,8.4,7.59,8
Penn State,Big Ten,18.15,2.0,2.75,16.15,7.59,8.24,8
Indiana,Big Ten,17.45,1.2,3.6,16.25,7.19,7.12,7
Liberty,Conference USA,16.25,44.4,1.4,7.35,8.72,5.54,6
Oklahoma,SEC,16.0,4.3,2.3,11.7,7.7,7.66,8
James Madison,Sun Belt,15.75,35.45,1.65,6.2,8.33,7.43,7
SMU,ACC,15.4,9.7,0.95,5.7,9.66,6.5,7
Memphis,American Athletic,14.8,17.55,1.9,7.7,7.99,7.46,7
Jacksonville State,Conference USA,12.95,29.9,1.2,6.7,8.51,4.62,5
Toledo,Mid-American,12.7,30.3,1.4,6.75,8.35,6.66,7
Pittsburgh,ACC,11.5,4.35,0.95,7.15,8.81,7.09,7
Florida State,ACC,10.0,4.0,1.05,6.0,8.67,6.45,6
Clemson,ACC,9.5,4.4,0.85,5.1,9.14,6.69,7
Tulane,American Athletic,8.4,20.0,0.45,3.3,8.92,7.55,8
Arizona,Big 12,7.8,3.0,1.05,4.8,8.15,6.27,6
