id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4432803,Kaidon Salter,QB,False,,84.692,56.307,,30.101,56.307,30.101
4568687,Sincere Brown,WR,False,,24.792,,24.792,0.0,24.792,0.0
4684421,Simeon Price,RB,False,,6.19,,-0.22,6.411,-0.22,6.411
4698727,Dallan Hayden,RB,False,,-5.596,,-1.206,-4.39,-1.206,-4.39
4870850,Omarion Miller,WR,False,,48.784,,49.809,-1.025,49.809,-1.025
4871048,Hykeem Williams,WR,True,id,7.832,,7.832,0.0,7.832,0.0
4892983,Terrell Timmons Jr.,WR,False,,6.53,,6.53,0.0,6.53,0.0
4917093,Ryan Staub,QB,False,,17.872,13.579,,4.293,13.579,4.293
5079536,Kam Mikell,WR,False,,-1.9,,0.181,-2.081,0.181,-2.081
5079612,Drelon Miller,WR,False,,-2.196,,2.103,-4.299,2.103,-4.299
5079626,Micah Welch,RB,True,id,-4.148,,-1.706,-2.442,-1.706,-2.442
5096878,Dekalon Taylor,RB,True,id,3.216,,6.271,-3.055,6.271,-3.055
5141445,Quanell Farrakhan Jr.,WR,True,id,-2.474,,-2.338,-0.136,-2.338,-0.136
5157068,Kaleb Mathis,WR,True,id,2.32,,2.32,0.0,2.32,0.0
5159016,Julian Lewis,QB,True,id,3.83,6.558,,-2.728,6.558,-2.728
5189530,Joseph Williams,WR,True,id,30.718,,30.718,0.0,30.718,0.0
5221298,Ronald Coleman,WR,False,,-4.28,,0.0,-4.28,0.0,-4.28
5239157,Quentin Gibson,WR,True,id,2.914,,2.354,0.56,2.354,0.56
5259971,Zach Atkins,TE,True,id,4.089,,1.122,2.967,1.122,2.967
