id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4428451,Brett Seither,TE,False,,10.369,,10.369,0.0,10.369,0.0
4428993,Haynes King,QB,False,,204.342,149.295,,65.367,149.295,65.367
4603746,Malik Rutherford,WR,False,,48.231,,44.262,3.969,44.262,3.969
4611995,Jamal Haynes,RB,False,,-7.862,,6.459,-14.321,6.459,-14.321
4685131,J.T. Byrne,TE,False,,3.431,,5.481,-2.05,5.481,-2.05
4696688,Josh Beetham,TE,False,,12.598,,12.598,0.0,12.598,0.0
4713277,Eric Rivers,WR,False,,38.211,,35.179,3.032,35.179,3.032
4873609,Daylon Gordon,RB,False,,-0.43,,-0.398,-0.031,-0.398,-0.031
4875613,Dean Patterson,WR,False,,-3.548,,-3.548,0.0,-3.548,0.0
4921322,Zion Taylor,WR,False,,11.024,,11.024,0.0,11.024,0.0
5103639,Trelain Maddox,RB,True,id,1.056,,0.152,0.903,0.152,0.903
5125580,Chad Alexander,RB,True,id,-2.424,,-1.513,-0.911,-1.513,-0.911
5125593,Bailey Stockton,WR,False,,16.197,,16.122,0.075,16.122,0.075
5132253,Isiah Canion,WR,False,,20.793,,20.793,0.0,20.793,0.0
5132812,Aaron Philo,QB,False,,13.592,14.155,,1.411,14.155,1.411
5141362,Jordan Allen,WR,True,id,18.223,,16.435,1.788,16.435,1.788
5155366,Malachi Hosley,RB,True,id,35.426,,5.893,29.533,5.893,29.533
5218907,Luke Harpring,TE,False,,13.725,,13.725,0.0,13.725,0.0
