id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4685573,Holden Staes,TE,False,,5.227,,5.227,0.0,5.227,0.0
4686093,E.J. Williams,WR,False,,24.361,,24.361,0.0,24.361,0.0
4688835,Roman Hemby,RB,False,,22.741,,4.407,18.334,4.407,18.334
4693370,Riley Nowakowski,TE,False,,27.643,,22.735,4.908,22.735,4.908
4696044,Kaelon Black,RB,False,,28.056,,0.966,27.09,0.966,27.09
4723820,Omar Cooper Jr.,WR,False,,62.964,,58.406,4.558,58.406,4.558
4832806,Jonathan Brady,WR,False,,7.361,,7.361,0.0,7.361,0.0
4837248,Fernando Mendoza,QB,False,,231.958,194.418,,41.168,194.418,41.168
5088338,Elijah Sarratt,WR,False,,61.65,,61.65,0.0,61.65,0.0
5091725,Lee Beebe,RB,True,id,7.217,,0.501,6.717,0.501,6.717
5142140,Khobie Martin,RB,True,id,0.253,,0.0,0.253,0.0,0.253
5146735,Charlie Becker,WR,True,id,50.775,,50.775,0.0,50.775,0.0
5209424,LeBron Bond,WR,True,id,0.479,,0.479,0.0,0.479,0.0
