id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4596347,Donaven McCulley,WR,False,,37.0,,37.928,-0.928,37.928,-0.928
4695705,Marlin Klein,TE,False,,6.93,,6.93,0.0,6.93,0.0
4712328,Anthony Simpson,WR,False,,-0.814,,-0.814,0.0,-0.814,0.0
4870760,Justice Haynes,RB,False,,39.084,,-0.768,39.852,-0.768,39.852
4878695,Max Bredeson,TE,False,,0.651,,0.651,0.0,0.651,0.0
4899352,Deakon Tonielli,TE,True,id,6.0,,6.0,0.0,6.0,0.0
4899366,Semaj Morgan,WR,False,,4.495,,4.445,0.049,4.445,0.049
4905609,Fredrick Moore,WR,False,,-1.108,,-1.108,0.0,-1.108,0.0
5079367,Jadyn Davis,QB,False,,-0.184,-0.184,,0.0,-0.184,0.0
5079417,Channing Goodwin,WR,True,id,4.937,,4.937,0.0,4.937,0.0
5079494,Hogan Hansen,TE,True,id,1.385,,1.385,0.0,1.385,0.0
5079546,Micah Ka'Apana,RB,True,id,4.103,,1.798,2.305,1.798,2.305
5079574,Jordan Marshall,RB,True,id,39.354,,3.366,35.988,3.366,35.988
5088628,Zack Marshall,TE,True,id,13.2,,13.2,0.0,13.2,0.0
5108220,Kendrick Bell,WR,True,id,4.93,,4.93,0.0,4.93,0.0
5141572,Andrew Marsh,WR,True,id,43.602,,40.938,2.664,40.938,2.664
5141741,Bryce Underwood,QB,True,id,101.73,73.722,,31.866,73.722,31.866
5156348,Bryson Kuzdzal,RB,True,id,0.988,,-3.234,3.423,-3.234,3.423
5156349,Jalen Hoffman,TE,True,id,-0.825,,-0.825,0.0,-0.825,0.0
5214410,Jasper Parker,RB,False,,-0.198,,0.0,-0.198,0.0,-0.198
