id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4879931,Simeon Evans,WR,False,,2.92,,2.92,0.0,2.92,0.0
4911484,Tyrese Hunt-Thompson,WR,False,,2.153,,2.153,0.0,2.153,0.0
5103852,Dalton Carnes,WR,True,id,3.152,,3.152,0.0,3.152,0.0
5122006,Landon Sides,WR,False,,25.09,,25.09,0.0,25.09,0.0
5146726,Kiefer Sibley,RB,False,,17.991,,1.824,16.167,1.824,16.167
5146987,Brandon Young Jr.,TE,False,,2.069,,2.069,0.0,2.069,0.0
5148787,Wyatt Young,WR,False,,75.354,,72.479,2.874,72.479,2.874
5149007,Miles Coleman,WR,False,,38.232,,35.69,2.543,35.69,2.543
5149220,Baron Tipton,WR,True,id,-0.803,,-0.803,0.0,-0.803,0.0
5150786,Makenzie McGill,RB,False,,7.187,,-1.238,8.425,-1.238,8.425
5154278,Jayden Becks,RB,False,,4.502,,0.07,4.432,0.07,4.432
5194306,Ashton Gray,RB,False,,12.582,,0.357,12.225,0.357,12.225
5194308,Kyle Koch,WR,True,id,0.436,,0.436,0.0,0.436,0.0
5207931,Terrence Lewis,WR,False,,8.544,,8.544,0.0,8.544,0.0
5219834,Drew Mestemaker,QB,False,,209.499,197.981,,15.694,197.981,15.694
5258016,Caleb Hawkins,RB,False,,109.983,,24.273,85.711,24.273,85.711
5295981,Cameron Dorner,WR,False,,63.013,,62.661,0.352,62.661,0.352
5295982,Tre Williams III,TE,False,,23.754,,23.754,0.0,23.754,0.0
