id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4683867,Xavier Ward,QB,False,,-23.23,-16.63,,-5.678,-16.63,-5.678
4685254,Jabari Bates,RB,True,id,10.937,,1.73,9.206,1.73,9.206
4687017,Jackson Canaan,TE,False,,2.251,,2.251,0.0,2.251,0.0
4694149,Walker Eget,QB,False,,124.566,128.09,,1.646,128.09,1.646
4696726,Grant Norberg,TE,False,,-0.443,,-0.443,0.0,-0.443,0.0
4870994,Malachi Riley,WR,True,id,0.911,,0.911,0.0,0.911,0.0
5079641,Lamar Radcliffe,RB,False,,6.266,,2.14,3.735,2.14,3.735
5082587,Matthew Coleman,WR,False,,8.959,,8.959,0.0,8.959,0.0
5089859,Floyd Chalk IV,RB,False,,8.714,,-0.317,9.03,-0.317,9.03
5151338,Viliami Teu,RB,True,id,-3.262,,0.0,-3.262,0.0,-3.262
5151342,Cooper Hoch,WR,True,id,-1.254,,-1.254,0.0,-1.254,0.0
5152815,Danny Scudero,WR,False,,46.121,,46.121,0.0,46.121,0.0
5205684,Robert McDaniel,QB,True,id,-3.583,-3.425,,-0.158,-3.425,-0.158
5219086,Leland Smith,WR,False,,34.876,,34.876,0.0,34.876,0.0
5220596,Kyri Shoels,WR,False,,42.232,,42.232,0.0,42.232,0.0
5228911,Sir Autry,RB,True,id,0.109,,0.109,0.0,0.109,0.0
5296610,Tama Amisone,WR,True,id,0.142,,-6.679,7.746,-6.679,7.746
5296612,Steve Chavez-Soto,RB,False,,10.532,,0.899,9.633,0.899,9.633
