id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4570035,Jaden Alexis,WR,True,id,-0.158,,-0.158,0.0,-0.158,0.0
4683265,Weston Wolff,TE,False,,0.605,,0.605,0.0,0.605,0.0
4697122,Gaston Moore,QB,False,,7.344,11.311,,-3.967,11.311,-3.967
4826505,Mudia Reuben,WR,True,id,20.873,,24.778,-3.905,24.778,-3.905
4869390,Wyatt Sullivan,TE,True,id,10.812,,10.812,0.0,10.812,0.0
4877529,Sam Franklin,RB,False,,6.921,,1.153,5.768,1.153,5.768
4880272,Byrum Brown,QB,False,,213.801,157.086,,56.715,157.086,56.715
4900146,Cartevious Norton,RB,False,,5.421,,-0.938,6.359,-0.938,6.359
4950550,Jeyquan Smith,WR,True,id,7.378,,7.378,0.0,7.378,0.0
5079382,Jonathan Echols,TE,False,,8.686,,8.686,0.0,8.686,0.0
5081367,Chas Nimrod,WR,False,,16.623,,16.623,0.0,16.623,0.0
5117848,Evan Dangler,TE,True,id,1.9,,1.9,0.0,1.9,0.0
5121879,Keshaun Singleton,WR,False,,58.102,,59.765,-1.663,59.765,-1.663
5126532,Arkese Parks,WR,True,id,-0.559,,0.0,-0.559,0.0,-0.559
5146576,Joshua Porter,WR,True,id,3.534,,3.534,0.0,3.534,0.0
5146713,Locklan Hewlett,QB,False,,-0.709,1.823,,-0.196,1.823,-0.196
5184165,Nykahi Davenport,RB,False,,9.893,,5.076,4.817,5.076,4.817
5193089,Alvon Isaac,RB,True,id,3.192,,9.76,-6.567,9.76,-6.567
5209679,Jeremiah Koger,WR,False,,39.458,,39.458,0.0,39.458,0.0
5215625,Tayte Crable,TE,True,id,2.014,,2.014,0.0,2.014,0.0
5216510,Kory Pettigrew,WR,False,,2.167,,2.167,0.0,2.167,0.0
5296023,Tray Kinkle,RB,True,id,2.865,,0.0,2.865,0.0,2.865
5296027,Christian Neptune,WR,False,,13.716,,12.978,0.738,12.978,0.738
