id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4566198,Lake McRee,TE,False,,27.677,,27.677,0.0,27.677,0.0
4567748,Sam Huard,QB,True,id,3.211,3.211,,0.0,3.211,0.0
4684525,Eli Sanders,RB,False,,16.442,,8.646,7.795,8.646,7.795
4685454,Jayden Maiava,QB,True,id,227.537,208.219,,27.782,208.219,27.782
4712578,Jay Fair,WR,False,,-3.028,,-3.028,0.0,-3.028,0.0
4833241,Gage Roy,QB,False,,-0.291,0.0,,-0.291,0.0,-0.291
4870795,Makai Lemon,WR,False,,75.424,,76.889,-1.464,76.889,-1.464
4870847,Ja'Kobi Lane,WR,False,,57.356,,57.356,0.0,57.356,0.0
4905248,Carson Tabaracci,TE,True,id,2.015,,2.015,0.0,2.015,0.0
5079500,Bryan Jackson,RB,False,,4.301,,1.559,2.742,1.559,2.742
5141419,Harry Dalton III,RB,False,,1.258,,0.0,1.258,0.0,1.258
5141563,Husan Longstreet,QB,False,,1.098,0.0,,1.098,0.0,1.098
5141975,Tanook Hines,WR,True,id,46.264,,46.264,0.0,46.264,0.0
5144164,Riley Wormley,RB,True,id,-0.395,,0.222,-0.617,0.222,-0.617
5146757,Zach Williams,WR,True,id,3.065,,3.065,0.0,3.065,0.0
5194576,Jaden Richardson,WR,False,,11.898,,11.898,0.0,11.898,0.0
5209130,Taniela Tupou,TE,True,id,0.357,,0.357,0.0,0.357,0.0
5221043,Walker Lyons,TE,False,,16.815,,16.815,0.0,16.815,0.0
5233016,King Miller,RB,True,id,7.81,,0.226,7.584,0.226,7.584
5295318,Waymond Jordan,RB,True,id,25.426,,-2.126,27.551,-2.126,27.551
