id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4685714,Andre Roye Jr.,OL,OL,4,Roster year 4,78,295,returning,,,,,
4685734,Demetrius Hunter,OL,OL,4,Roster year 4,74,310,transfer_in,Houston,0.86,3,2026-01-14T15:39:00.000Z,Immediate
4687042,Balansama Kamara,DE,DL,4,Roster year 4,75,260,transfer_in,Albany,0.85,3,2026-01-04T22:13:00.000Z,Immediate
4698710,Santana Hopper,DL,DL,4,Roster year 4,74,265,transfer_in,Tulane,0.87,3,2026-01-05T18:12:00.000Z,Immediate
4702756,Quency Wiggins,DE,DL,4,Roster year 4,77,255,returning,,,,,
4714496,Taj White,OL,OL,4,Roster year 4,77,310,transfer_in,Rutgers,0.87,3,2026-01-07T22:40:00.000Z,Immediate
4837464,Emory Floyd,DB,DB,4,Roster year 4,73,195,transfer_in,App State,0.86,3,2026-01-12T02:53:00.000Z,Immediate
4838549,Kam Perry,WR,WR,4,Roster year 4,69,170,transfer_in,Miami (OH),0.86,3,2026-01-04T02:13:00.000Z,Immediate
4870749,Bo Hughley,OL,OL,4,Roster year 4,79,295,transfer_in,Georgia,0.88,3,2026-01-12T19:41:00.000Z,Immediate
4870860,DeAndre Moore Jr.,WR,WR,4,Roster year 4,72,190,transfer_in,Texas,0.94,4,2026-01-13T20:32:00.000Z,Immediate
4870862,Liona Lefau,LB,LB,4,Roster year 4,73,230,transfer_in,Texas,0.9,4,2026-01-08T19:07:00.000Z,Immediate
4871048,Hykeem Williams,WR,WR,4,Roster year 4,74,220,returning,,,,,
4871081,Richard Young,RB,RB,4,Roster year 4,71,210,transfer_in,Alabama,0.86,3,2026-01-18T01:46:00.000Z,Immediate
4871083,Makari Vickers,DB,DB,4,Roster year 4,73,190,returning,,,,,
4901008,Ben Finneseth,DB,DB,4,Roster year 4,74,205,returning,,,,,
4912337,Justin Eaglin,DB,DB,4,Roster year 4,73,175,transfer_in,James Madison,0.86,3,2026-01-07T02:33:01.000Z,Immediate
4918094,Damian Henderson II,RB,RB,4,Roster year 4,74,205,transfer_in,Sacramento State,0.86,3,2026-01-04T14:21:11.000Z,Immediate
4920154,Kylan Salter,DE,DL,4,Roster year 4,74,230,returning,,,,,
4922985,Randon Fontenette,DB,DB,4,Roster year 4,74,220,transfer_in,Vanderbilt,0.86,3,2026-01-11T23:18:00.000Z,Immediate
4950555,Samu Taumanupepe,DL,DL,4,Roster year 4,75,375,transfer_in,Baylor,0.86,3,2026-01-16T02:23:00.000Z,Immediate
5078018,Naeten Mitchell,DB,DB,4,Roster year 4,70,175,transfer_in,New Mexico State,0.85,3,2026-01-05T03:52:12.000Z,Immediate
5079370,Ernest Campbell,WR,WR,3,Roster year 3,69,145,transfer_in,Sacramento State,0.87,3,2026-01-07T23:00:00.000Z,Immediate
5079381,Boo Carter,DB,DB,3,Roster year 3,71,200,transfer_in,Tennessee,0.93,4,2026-01-10T23:47:00.000Z,Immediate
5079436,Jaydan Hardy,DB,DB,3,Roster year 3,70,180,transfer_in,Oklahoma,0.86,3,2026-01-14T21:09:00.000Z,Immediate
5079626,Micah Welch,RB,RB,3,Roster year 3,69,215,returning,,,,,
5079771,Isaac Wilson,QB,QB,3,Roster year 3,72,210,transfer_in,Utah,0.86,3,2026-01-07T23:29:00.000Z,Immediate
5082038,Phillip Houston,OL,OL,4,Roster year 4,77,280,returning,,,,,
5082265,Brady Radz,LS,ST,4,Roster year 4,74,175,new_other,,,,,
5082663,Brady Kopetz,TE,TE,4,Roster year 4,76,270,returning,,,,,
5083249,Fisher Clements,TE,TE,4,Roster year 4,79,265,transfer_in,Northern Colorado,0.85,3,2026-01-10T19:40:00.000Z,Immediate
5086986,Gideon ESPN Lampron,LB,LB,4,Roster year 4,72,220,new_other,,,,,
5087182,Toby Anene,DE,DL,4,Roster year 4,76,260,transfer_in,North Dakota State,0.87,3,2026-01-05T23:18:00.000Z,Immediate
5092432,Sam Gadie,DE,DL,4,Roster year 4,75,235,new_other,,,,,
5092809,Myles Weston,DB,DB,4,Roster year 4,71,175,new_other,,,,,
5096878,DeKalon Taylor,RB,RB,4,Roster year 4,69,165,returning,,,,,
5121788,Domata Peko Jr.,DE,DL,4,Roster year 4,76,235,new_other,,,,,
5122077,Charlie Williams,TE,TE,4,Roster year 4,76,245,returning,,,,,
5123274,Jah Jah Boyd,DB,DB,3,Roster year 3,71,190,transfer_in,Indiana,0.85,3,2026-01-18T21:51:00.000Z,Immediate
5125820,Damon Greaves,P,ST,4,Roster year 4,73,190,returning,,,,,
5141445,Quanell Farrakhan Jr.,WR,WR,2,Roster year 2,73,180,returning,,,,,
5141477,Chauncey Gooden,OL,OL,2,Roster year 2,75,380,returning,,,,,
5141552,Jayvon McFadden,OL,OL,2,Roster year 2,75,295,transfer_in,Ohio State,0.86,3,2026-01-18T22:13:00.000Z,Immediate
5148610,Cree Thomas,DB,DB,2,Roster year 2,73,190,transfer_in,Notre Dame,0.87,3,2026-01-07T22:16:00.000Z,Immediate
5150448,Larry Johnson III,OL,OL,4,Roster year 4,79,350,returning,,,,,
5152213,Leon Bell,OL,OL,4,Roster year 4,80,330,transfer_in,California,0.89,3,2026-01-17T18:30:00.000Z,Immediate
5152813,Jose Soto,OL,OL,4,Roster year 4,75,310,transfer_in,Sacramento State,0.84,3,2026-01-09T14:53:00.000Z,Immediate
5152815,Danny Scudero,WR,WR,4,Roster year 4,69,175,transfer_in,San José State,0.87,3,2026-01-04T13:32:00.000Z,Immediate
5157068,Kaleb Mathis,WR,WR,4,Roster year 4,69,165,returning,,,,,
5158785,Luke Whiting,LS,ST,4,Roster year 4,76,225,returning,,,,,
5158946,Rodney Colton Jr.,LB,LB,1,Roster year 1,73,225,new_other,,,,,
5158952,Preston Ashley,CB,DB,1,Roster year 1,71,185,new_other,,,,,
5159016,Julian Lewis,QB,QB,2,Roster year 2,73,190,returning,,,,,
5159060,Christian Ward,WR,WR,1,Roster year 1,75,205,new_other,,,,,
5159147,Tyler Martinez,LB,LB,4,Roster year 4,73,220,transfer_in,New Mexico State,0.85,3,2026-01-06T19:13:00.000Z,Immediate
5159217,Sedrick Smith,DL,DL,4,Roster year 4,76,320,transfer_in,Maryland,0.87,3,2026-01-11T22:14:00.000Z,Immediate
5160060,Aiden DeCorte,LS,ST,4,Roster year 4,73,300,returning,,,,,
5161821,Ben Gula,TE,TE,1,Roster year 1,77,285,new_other,,,,,
5163532,Dominiq Ponder,QB,QB,4,Roster year 4,77,200,returning,,,,,
5168714,Paul Omodia,DB,DB,4,Roster year 4,74,200,transfer_in,Lamar,0.85,3,2026-01-17T23:47:00.000Z,Immediate
5189530,Joseph Williams,WR,WR,3,Roster year 3,74,200,returning,,,,,
