id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4570736,Markell Samuel,OL,OL,4,Roster year 4,76,305,transfer_in,Oklahoma State,0.86,3,2026-01-06T15:03:00.000Z,Immediate
4685429,Melvin Jordan IV,LB,LB,4,Roster year 4,71,225,returning,,,,,
4703030,Jaiven Plummer,WR,WR,4,Roster year 4,75,210,transfer_in,California,0.86,3,2026-01-17T23:42:00.000Z,Immediate
4812383,Tawfiq Thomas,DT,DL,4,Roster year 4,76,305,transfer_in,Colorado,0.86,3,2026-01-09T19:35:00.000Z,Immediate
4837472,E.J. Lightsey,LB,LB,4,Roster year 4,74,230,returning,,,,,
4838514,Kyle Efford,LB,LB,4,Roster year 4,74,225,returning,,,,,
4862220,Alex Bacchetta,P,ST,4,Roster year 4,74,235,transfer_in,Rice,,3,2026-01-06T19:45:00.000Z,Immediate
4870760,Justice Haynes,RB,RB,4,Roster year 4,71,210,transfer_in,Michigan,0.95,4,2026-01-14T17:19:00.000Z,Immediate
4870781,A.J. Hoffler,DE,DL,4,Roster year 4,76,260,returning,,,,,
4871101,Savion Riley,S,DB,4,Roster year 4,74,215,returning,,,,,
4876720,Aidan Birr,PK,ST,4,Roster year 4,73,210,returning,,,,,
4893780,Will Reed,OL,OL,4,Roster year 4,77,305,returning,,,,,
4909124,Malachi Carney,OL,OL,4,Roster year 4,76,330,returning,,,,,
4921259,Ethan Mackenny,OL,OL,3,Roster year 3,77,310,returning,,,,,
4921457,Daiquan White,CB,DB,4,Roster year 4,70,185,returning,,,,,
4923251,Jonas Duclona,CB,DB,3,Roster year 3,71,190,transfer_in,South Florida,0.86,3,2026-01-15T21:23:00.000Z,Immediate
4954446,Zachary Tobe,CB,DB,4,Roster year 4,74,200,returning,,,,,
5075806,Shymeik Jones,DT,DL,2,Roster year 2,77,310,returning,,,,,
5079441,Debron Gatling,WR,WR,2,Roster year 2,71,195,returning,,,,,
5079515,Jaylen Mbakwe,CB,DB,3,Roster year 3,72,195,transfer_in,Alabama,0.9,4,2026-01-05T19:32:00.000Z,Immediate
5079581,Jameson Riggs,OL,OL,2,Roster year 2,77,310,returning,,,,,
5079598,Jon Mitchell,CB,DB,2,Roster year 2,71,190,returning,,,,,
5083131,Ronnie Thomas III,LS,ST,4,Roster year 4,70,210,returning,,,,,
5085509,Chris Corbo,TE,TE,4,Roster year 4,77,250,transfer_in,Dartmouth,0.84,3,2026-01-06T03:04:00.000Z,Immediate
5085830,Rahkeem Smith,WR,WR,4,Roster year 4,69,185,returning,,,,,
5092443,Jordan Walker,DE,DL,4,Roster year 4,76,275,transfer_in,Rutgers,0.87,3,2026-01-04T14:38:00.000Z,Immediate
5103639,Trelain Maddox,RB,RB,2,Roster year 2,74,225,returning,,,,,
5105677,Taje McCoy,DE,DL,3,Roster year 3,75,250,transfer_in,Oklahoma State,0.87,3,2026-01-11T01:20:00.000Z,Immediate
5120453,Vincent Carroll-Jackson,DT,DL,3,Roster year 3,77,315,transfer_in,UConn,0.86,3,2026-01-08T17:46:00.000Z,Immediate
5125580,Chad Alexander,RB,RB,3,Roster year 3,69,190,returning,,,,,
5125596,Andrew Rosinski,OL,OL,2,Roster year 2,77,300,returning,,,,,
5126569,Joseph Ionata,OL,OL,2,Roster year 2,77,305,transfer_in,Alabama,0.86,3,2026-01-06T19:22:00.000Z,Immediate
5127028,Jordan Boyd,DE,DL,3,Roster year 3,75,255,returning,,,,,
5139096,Noah Carter,DE,DL,2,Roster year 2,77,250,transfer_in,Alabama,0.93,4,2026-01-10T21:11:00.000Z,Immediate
