id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4605838,Preston Zachman,DB,DB,4,Roster year 4,74,209,transfer_in,Wisconsin,0.86,3,2026-01-04T15:00:00.000Z,Immediate
4685276,Joe Brunner,OL,OL,4,Roster year 4,79,313,transfer_in,Wisconsin,0.93,4,2026-01-14T20:24:00.000Z,Immediate
4685299,Josh Burnham,DL,DL,4,Roster year 4,76,255,new_other,,,,,
4685401,Josh Hoover,QB,QB,4,Roster year 4,74,200,transfer_in,TCU,0.93,4,2026-01-04T22:00:00.000Z,Immediate
4685464,Tyler Morris,WR,WR,4,Roster year 4,71,186,returning,,,,,
4685516,Shazz Preston,WR,WR,4,Roster year 4,72,205,transfer_in,Tulane,0.89,3,2026-01-12T18:00:00.000Z,Immediate
4695867,Grant Wilson,QB,QB,4,Roster year 4,75,218,returning,,,,,
4751685,Kaiden Turner,LB,LB,4,Roster year 4,72,228,returning,,,,,
4819232,Isaiah Jones,LB,LB,4,Roster year 4,74,225,returning,,,,,
4819239,Carter Smith,OL,OL,4,Roster year 4,77,313,returning,,,,,
4833364,Bray Lynch,OL,OL,4,Roster year 4,77,298,returning,,,,,
4837465,Ryland Gandy,DB,DB,4,Roster year 4,72,189,returning,,,,,
4857878,Tobi Osunsanmi,DL,DL,4,Roster year 4,74,251,transfer_in,Kansas State,0.94,4,2026-01-04T21:46:00.000Z,Immediate
4870711,Amare Ferrell,DB,DB,4,Roster year 4,74,205,returning,,,,,
4870721,A.J. Harris,DB,DB,4,Roster year 4,73,189,transfer_in,Penn State,0.91,4,2026-01-12T21:20:00.000Z,Immediate
4878843,Drew Clausen,LS,ST,4,Roster year 4,78,250,transfer_in,Iowa State,,,2026-01-09T00:30:00.000Z,Immediate
4881031,Jamari Sharpe,DB,DB,4,Roster year 4,73,188,returning,,,,,
4912358,Tyrique Tucker,DL,DL,4,Roster year 4,72,307,returning,,,,,
4912558,Stephen Daley,DL,DL,4,Roster year 4,73,273,returning,,,,,
5078315,Nico Radicic,PK,ST,3,Roster year 3,71,188,returning,,,,,
5079600,Nick Marsh,WR,WR,3,Roster year 3,75,213,transfer_in,Michigan State,0.94,4,2026-01-04T19:30:00.000Z,Immediate
5085229,Chiddi Obiazor,DL,DL,3,Roster year 3,77,279,transfer_in,Kansas State,0.87,3,2026-01-05T15:36:00.000Z,Immediate
5089187,Drew Evans,OL,OL,4,Roster year 4,76,307,returning,,,,,
5091725,Lee Beebe Jr.,RB,RB,4,Roster year 4,70,218,returning,,,,,
5104815,Jeff Utzinger,LB,LB,4,Roster year 4,75,232,returning,,,,,
5104817,Jackson Wasserstrom,WR,WR,4,Roster year 4,71,177,returning,,,,,
5141379,Jaylen Bell,DB,DB,2,Roster year 2,70,169,returning,,,,,
5142140,Khobie Martin,RB,RB,2,Roster year 2,72,204,returning,,,,,
5142604,Brock Schott,TE,TE,1,Roster year 1,75,241,transfer_in,Miami,0.87,3,2026-01-05T22:15:00.000Z,Immediate
5145553,Tyler Cherry,QB,QB,1,Roster year 1,77,220,new_other,,,,,
5146680,Adedamola Ajani,OL,OL,2,Roster year 2,76,308,returning,,,,,
5146724,Turbo Richard,RB,RB,3,Roster year 3,69,204,transfer_in,Boston College,0.88,3,2026-01-04T22:35:00.000Z,Immediate
5146735,Charlie Becker,WR,WR,3,Roster year 3,76,207,returning,,,,,
5146886,Daniel Ndukwe,DL,DL,3,Roster year 3,75,238,returning,,,,,
5147195,Quan Sanks,DB,DB,3,Roster year 3,70,190,new_other,,,,,
5148994,Quentin Clark,DL,DL,2,Roster year 2,73,221,returning,,,,,
5149301,Mario Landino,DL,DL,3,Roster year 3,76,288,returning,,,,,
5151227,Austin Leibfried,OL,OL,2,Roster year 2,78,300,returning,,,,,
5156044,Anthony Chung,DB,DB,3,Roster year 3,73,199,returning,,,,,
5156045,Clay Conner,DB,DB,3,Roster year 3,76,206,returning,,,,,
5157419,Carson Williams,DB,DB,2,Roster year 2,71,181,transfer_in,Montana State,0.86,3,2026-01-11T20:58:00.000Z,Immediate
5164320,Sean Cuono,RB,RB,1,Roster year 1,70,193,returning,,,,,
5167186,PJ Nelson,LB,LB,1,Roster year 1,73,219,returning,,,,,
5167699,Tyrone Burrus Jr.,DL,DL,1,Roster year 1,76,245,returning,,,,,
5167749,Jhrevious Hall,DL,DL,1,Roster year 1,74,305,returning,,,,,
5179537,Sam Lindsey,LS,ST,3,Roster year 3,72,188,returning,,,,,
5183922,Jamar Owens,DB,DB,1,Roster year 1,72,172,new_other,,,,,
5196574,Matt Marek,OL,OL,1,Roster year 1,75,300,returning,,,,,
5196892,Evan Parker,OL,OL,1,Roster year 1,76,299,returning,,,,,
5199277,Garrett Reese,DB,DB,2,Roster year 2,74,205,returning,,,,,
5201882,Blake Thiry,TE,TE,1,Roster year 1,76,236,returning,,,,,
5203706,Kevontay Hugan,DL,DL,1,Roster year 1,73,227,new_other,,,,,
5205460,Davion Chandler,WR,WR,2,Roster year 2,71,181,returning,,,,,
5209389,Gabe Hill,DL,DL,1,Roster year 1,73,289,new_other,,,,,
5209424,Lebron Bond,WR,WR,2,Roster year 2,69,175,returning,,,,,
5209933,Kyler Garcia,DL,DL,1,Roster year 1,76,291,returning,,,,,
5209957,Cam McHaney,DL,DL,1,Roster year 1,73,286,new_other,,,,,
5210001,Byron Baldwin Jr.,DB,DB,2,Roster year 2,74,185,returning,,,,,
5211182,Ben Novak,OL,OL,1,Roster year 1,78,317,new_other,,,,,
5211198,Chance Johnson,OL,OL,1,Roster year 1,77,307,returning,,,,,
5211476,Jacob Bell,QB,QB,1,Roster year 1,74,208,returning,,,,,
5211742,Henry Ohlinger,LB,LB,1,Roster year 1,73,224,new_other,,,,,
5211767,Seaonta Stewart Jr.,DB,DB,1,Roster year 1,73,205,returning,,,,,
5212941,Rolijah Hardy,LB,LB,3,Roster year 3,71,227,returning,,,,,
5214648,Jayreon Campbell,RB,RB,1,Roster year 1,68,205,new_other,,,,,
5215421,Bryce Taylor,PK,ST,1,Roster year 1,70,189,returning,,,,,
5216334,Zacharey Smith,DB,DB,1,Roster year 1,71,175,returning,,,,,
5216342,Keishaun Calhoun,DL,DL,1,Roster year 1,74,265,returning,,,,,
5216524,Andrew Barker,TE,TE,1,Roster year 1,76,250,returning,,,,,
5216964,Myles Kendrick,WR,WR,1,Roster year 1,72,190,returning,,,,,
5218916,Heath Kizer,DB,DB,2,Roster year 2,73,203,returning,,,,,
5218917,Kaden McConnell,LB,LB,2,Roster year 2,74,228,returning,,,,,
5218919,Lincoln Murff,DB,DB,3,Roster year 3,70,186,returning,,,,,
5218920,Clayton Allen,LB,LB,3,Roster year 3,74,209,returning,,,,,
5218922,Josh Placzek,PK,ST,2,Roster year 2,71,193,returning,,,,,
5218923,Quinn Warren,PK,ST,3,Roster year 3,78,214,returning,,,,,
5219790,Joe Hjelle,DL,DL,4,Roster year 4,75,318,transfer_in,Tulsa,0.85,3,2026-01-08T15:04:36.000Z,Immediate
5222259,Baylor Wilkin,OL,OL,1,Roster year 1,77,289,returning,,,,,
5232716,Paddy McAteer,PK,ST,4,Roster year 4,74,205,transfer_in,Troy,0.83,3,2026-01-13T20:15:00.000Z,Immediate
5245129,Ronelle Johnson,DL,DL,1,Roster year 1,75,266,new_other,,,,,
5265099,Sam Simpson,OL,OL,1,Roster year 1,75,304,new_other,,,,,
5265488,Amari Kamara,LB,LB,1,Roster year 1,71,202,returning,,,,,
5271189,Kasmir Hicks,DB,DB,1,Roster year 1,71,177,new_other,,,,,
5276957,Blake Smythe,DL,DL,1,Roster year 1,74,283,new_other,,,,,
5276970,Trevor Gibbs,TE,TE,1,Roster year 1,74,241,new_other,,,,,
5276972,Jacob Savage,LB,LB,1,Roster year 1,72,222,new_other,,,,,
5278168,D'Montae Tims,DB,DB,1,Roster year 1,72,202,new_other,,,,,
5278420,Kortez Rupert,WR,WR,1,Roster year 1,71,163,new_other,,,,,
5279650,Rodney White,DL,DL,1,Roster year 1,73,296,new_other,,,,,
5281465,Ja'Dyn Williams,LB,LB,1,Roster year 1,73,211,new_other,,,,,
5290885,CJ Scifres,OL,OL,1,Roster year 1,77,312,new_other,,,,,
5290926,Parker Elmore,TE,TE,1,Roster year 1,76,239,new_other,,,,,
5295243,Billy Gowers,P,ST,2,Roster year 2,74,207,transfer_in,Hawai'i,,,2026-01-07T20:00:00.000Z,Immediate
5295266,Maverick Geske,QB,QB,1,Roster year 1,72,187,returning,,,,,
5295268,Cade Kaiser,WR,WR,1,Roster year 1,77,214,returning,,,,,
5295269,Hunter Stroud,WR,WR,1,Roster year 1,72,183,returning,,,,,
5295270,Bruno Massel IV,WR,WR,1,Roster year 1,71,196,returning,,,,,
5295641,Jackson Tolle,LS,ST,1,Roster year 1,72,220,new_other,,,,,
