id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4495746,Christian Pierce,LB,LB,2,Roster year 2,72,235,transfer_in,Michigan,,3,2026-01-13T18:05:00.000Z,Immediate
4603101,Rod Moore,S,DB,4,Roster year 4,72,198,returning,,,,,
4794102,Zeke Berry,CB,DB,4,Roster year 4,71,196,returning,,,,,
4833597,Brayden Fowler-Nicolosi,QB,QB,4,Roster year 4,75,212,transfer_in,Colorado State,0.85,3,2026-01-11T21:39:00.000Z,Immediate
4870632,Troy Bowles,LB,LB,4,Roster year 4,72,230,returning,,,,,
4870704,Enow Etta,DT,DL,4,Roster year 4,77,320,returning,,,,,
4870717,Nathan Efobi,OL,OL,4,Roster year 4,75,312,returning,,,,,
4878106,Max Alford,LB,LB,4,Roster year 4,73,230,transfer_in,BYU,0.86,3,2026-01-13T04:00:00.000Z,Immediate
4891197,Jonah Lea'ea,DT,DL,4,Roster year 4,77,285,transfer_in,Utah,0.87,3,2026-01-12T03:44:02.000Z,Immediate
4896290,Aisea Moa,LB,LB,4,Roster year 4,74,238,transfer_in,Michigan State,0.86,3,2026-01-17T15:55:00.000Z,Immediate
4899352,Deakon Tonielli,TE,TE,4,Roster year 4,77,246,returning,,,,,
4899479,Evan Link,OL,OL,4,Roster year 4,78,324,returning,,,,,
4918445,Smith Snowden,CB,DB,4,Roster year 4,70,185,transfer_in,Utah,0.92,4,2026-01-13T22:31:00.000Z,Immediate
4918449,Jyaire Hill,CB,DB,4,Roster year 4,74,190,returning,,,,,
4921240,Brooks Bahr,OL,OL,4,Roster year 4,77,312,returning,,,,,
4923036,Cameron Brandt,DE,DL,4,Roster year 4,76,270,returning,,,,,
5078910,Chris Bracy,S,DB,3,Roster year 3,73,195,transfer_in,Memphis,0.85,3,2026-01-13T02:39:53.000Z,Immediate
5079392,Mason Curtis,S,DB,3,Roster year 3,77,211,returning,,,,,
5079417,Channing Goodwin,WR,WR,3,Roster year 3,73,197,returning,,,,,
5079452,Jake Guarnera,OL,OL,3,Roster year 3,76,311,returning,,,,,
5079487,Luke Hamilton,OL,OL,3,Roster year 3,77,319,returning,,,,,
5079494,Hogan Hansen,TE,TE,3,Roster year 3,77,240,returning,,,,,
5079546,Micah Ka'apana,RB,RB,3,Roster year 3,71,190,returning,,,,,
5079574,Jordan Marshall,RB,RB,3,Roster year 3,71,216,returning,,,,,
5079636,Dominic Nichols,DE,DL,3,Roster year 3,77,255,returning,,,,,
5079644,Jacob Oden,S,DB,3,Roster year 3,73,205,returning,,,,,
5079729,Andrew Sprague,OL,OL,3,Roster year 3,80,315,returning,,,,,
5079731,I'Marion Stewart,CB,DB,3,Roster year 3,71,180,returning,,,,,
5081267,Manuel Beigel,OL,OL,3,Roster year 3,77,312,returning,,,,,
5084045,Jo'Ziah Edmond,CB,DB,3,Roster year 3,73,185,returning,,,,,
5084942,Nico Crawford,LS,ST,4,Roster year 4,74,235,new_other,,,,,
5085243,Hudson Hollenbeck,P,ST,4,Roster year 4,74,206,returning,,,,,
5086014,Joshua Nichols,CB,DB,4,Roster year 4,70,205,returning,,,,,
5086016,Nico Andrighetto,S,DB,4,Roster year 4,69,190,returning,,,,,
5086017,Logan Forbes,WR,WR,4,Roster year 4,74,195,returning,,,,,
5086018,Bryce Wilcox,WR,WR,4,Roster year 4,71,191,returning,,,,,
5086022,James Kavouklis,OL,OL,4,Roster year 4,73,295,returning,,,,,
5086023,Dan Taraboi,OL,OL,4,Roster year 4,79,328,returning,,,,,
5087172,Nathaniel Staehling,LB,LB,4,Roster year 4,74,238,transfer_in,North Dakota State,0.86,3,2026-01-16T16:19:00.000Z,Immediate
5088628,Zack Marshall,TE,TE,4,Roster year 4,76,245,returning,,,,,
5089325,Ted Hammond,DT,DL,3,Roster year 3,77,294,returning,,,,,
5108220,Kendrick Bell,WR,WR,4,Roster year 4,74,205,returning,,,,,
5110462,Blake Frazier,OL,OL,3,Roster year 3,78,295,returning,,,,,
5127729,Jeremiah Lowe,CB,DB,3,Roster year 3,71,180,returning,,,,,
5128064,Deyvid Palepale,DT,DL,3,Roster year 3,74,335,returning,,,,,
5141435,Jaime Ffrench,WR,WR,2,Roster year 2,73,185,new_other,,,,,
5141437,Shamari Earls,CB,DB,2,Roster year 2,74,205,returning,,,,,
5141453,Avery Gach,OL,OL,2,Roster year 2,77,308,returning,,,,,
5141530,Donovan Johnson,RB,RB,2,Roster year 2,72,215,returning,,,,,
5141534,Nate Marshall,DE,DL,2,Roster year 2,75,240,returning,,,,,
5141554,Bobby Kanka,DT,DL,2,Roster year 2,76,305,returning,,,,,
5141572,Andrew Marsh,WR,WR,2,Roster year 2,72,190,returning,,,,,
5141588,Eli Owens,TE,TE,2,Roster year 2,73,244,returning,,,,,
5141620,Nathaniel Owusu-Boateng,LB,LB,2,Roster year 2,73,217,returning,,,,,
5141734,Jordan Young,S,DB,2,Roster year 2,72,195,returning,,,,,
5141741,Bryce Underwood,QB,QB,2,Roster year 2,76,228,returning,,,,,
5141759,Kainoa Winston,S,DB,2,Roster year 2,71,204,returning,,,,,
5141803,Zach Ludwig,LB,LB,3,Roster year 3,74,225,returning,,,,,
5142589,Andrew Babalola,OL,OL,2,Roster year 2,78,315,returning,,,,,
5152089,Brady Norton,OL,OL,4,Roster year 4,76,312,returning,,,,,
5153627,Trent Middleton,LS,ST,4,Roster year 4,74,225,returning,,,,,
5156348,Bryson Kuzdzal,RB,RB,4,Roster year 4,71,210,returning,,,,,
5156349,Jalen Hoffman,TE,TE,4,Roster year 4,75,245,returning,,,,,
5156351,John Weidenbach,LB,LB,4,Roster year 4,72,215,returning,,,,,
5156353,Trey Pierce,DT,DL,4,Roster year 4,74,310,returning,,,,,
5159013,Salesi Moa,WR,WR,1,Roster year 1,74,175,transfer_in,Utah,0.9,4,2026-01-12T23:52:00.000Z,Immediate
5159046,Savion Hiter,RB,RB,1,Roster year 1,72,210,new_other,,,,,
5159073,Brady Smigiel,QB,QB,1,Roster year 1,77,215,new_other,,,,,
5160473,Marky Walbridge,OL,OL,1,Roster year 1,78,285,new_other,,,,,
5160491,Malakai Lee,OL,OL,1,Roster year 1,79,359,new_other,,,,,
5160962,John Henry Daley,DE,DL,4,Roster year 4,76,255,transfer_in,Utah,0.93,4,2026-01-09T02:42:15.000Z,Immediate
5161819,Markel Dabney,LB,LB,1,Roster year 1,73,225,new_other,,,,,
5162850,Tariq Boney,DE,DL,1,Roster year 1,73,243,new_other,,,,,
5167194,Chase Taylor,LB,LB,2,Roster year 2,74,237,returning,,,,,
5168274,Lugard Edokpayi,DE,DL,3,Roster year 3,79,250,returning,,,,,
5199856,Julius Holly,DE,DL,2,Roster year 2,76,230,returning,,,,,
5207605,Jamarion Vincent,CB,DB,1,Roster year 1,74,170,new_other,,,,,
5207806,Jacob Washington,WR,WR,2,Roster year 2,75,197,returning,,,,,
5209293,Titan Davis,DT,DL,1,Roster year 1,76,286,new_other,,,,,
5209314,Travis Johnson,WR,WR,1,Roster year 1,74,185,new_other,,,,,
5209346,Mchale Blade,DE,DL,1,Roster year 1,76,245,new_other,,,,,
5209376,Jordan Deck,S,DB,1,Roster year 1,74,190,new_other,,,,,
5209412,Carter Meadows,DE,DL,1,Roster year 1,79,252,new_other,,,,,
5209416,Jaylen Pile,WR,WR,1,Roster year 1,72,195,new_other,,,,,
5210185,Benny Patterson III,DE,DL,2,Roster year 2,74,270,returning,,,,,
5214557,JJ Buchanan,WR,WR,2,Roster year 2,75,225,transfer_in,Utah,0.94,4,2026-01-12T03:21:45.000Z,Immediate
5215236,Jamar Browder,WR,WR,2,Roster year 2,77,215,returning,,,,,
5217105,Travis Moten,DT,DL,2,Roster year 2,78,315,returning,,,,,
5222267,Max Reyes,S,DB,4,Roster year 4,71,203,returning,,,,,
5222268,Stuart Blake,PK,ST,3,Roster year 3,73,181,returning,,,,,
5222269,Tomas O'Meara,RB,RB,3,Roster year 3,70,192,returning,,,,,
5222271,Kaleb Schlecht,WR,WR,4,Roster year 4,76,205,returning,,,,,
5224470,Braydon Alford,WR,WR,3,Roster year 3,68,180,new_other,,,,,
5258803,Chase Herbstreit,QB,QB,2,Roster year 2,73,198,returning,,,,,
5265648,Cam Brown,P,ST,2,Roster year 2,75,185,new_other,,,,,
5269403,Tommy Carr,QB,QB,1,Roster year 1,76,185,new_other,,,,,
5274327,Kaden Catchings,LB,LB,1,Roster year 1,73,220,new_other,,,,,
5276673,Mason Bonner,TE,TE,1,Roster year 1,79,229,new_other,,,,,
5276971,Aden Reeder,LB,LB,1,Roster year 1,74,215,new_other,,,,,
5276986,Ernest Nunley,S,DB,1,Roster year 1,72,180,new_other,,,,,
5279127,Tommy Fraumann,OL,OL,1,Roster year 1,80,279,new_other,,,,,
5281455,Jonathan Brown,RB,RB,1,Roster year 1,75,200,new_other,,,,,
5290675,Alister Vallejo,DT,DL,1,Roster year 1,75,307,new_other,,,,,
5295951,Gavin Magorien,LS,ST,2,Roster year 2,72,202,new_other,,,,,
5295977,Houston Ka'aha'aina-Torres,OL,OL,2,Roster year 2,75,300,transfer_in,Nebraska,0.86,3,2026-01-12T21:34:10.000Z,Immediate
5296243,Trey Butkowski,PK,ST,2,Roster year 2,72,170,transfer_in,Pittsburgh,,3,2026-01-08T15:14:25.000Z,Immediate
5299144,Crandall Quinn,TE,TE,4,Roster year 4,74,238,returning,,,,,
5299145,Hunter Robertson,P,ST,4,Roster year 4,76,205,returning,,,,,
5391394,Jacob Baggett,PK,ST,1,Roster year 1,73,190,new_other,,,,,
5391395,Gary Stacy,RB,RB,2,Roster year 2,73,202,new_other,,,,,
5391396,Ndi Etta,LB,LB,1,Roster year 1,73,215,new_other,,,,,
5391397,Sam Baron,CB,DB,4,Roster year 4,73,188,new_other,,,,,
5391398,Jimmy Pisani,TE,TE,1,Roster year 1,76,236,new_other,,,,,
5391399,Jeffrey Chukwu,CB,DB,3,Roster year 3,74,195,new_other,,,,,
5391400,Jack Treutelaar,LS,ST,1,Roster year 1,72,210,new_other,,,,,
5391401,Adam Bazzi,LB,LB,3,Roster year 3,71,205,new_other,,,,,
5391402,Ace Hamilton,OL,OL,1,Roster year 1,75,295,new_other,,,,,
5391403,Peter Donini,OL,OL,2,Roster year 2,81,270,new_other,,,,,
