id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4603750,Davion Rhodes,DL,DL,4,Roster year 4,74,248,transfer_in,Georgia Southern,0.84,3,2026-01-13T17:00:00.000Z,Immediate
4685241,BJ Allen Jr.,S,DB,4,Roster year 4,72,198,returning,,,,,
4685737,Neto Umeozulu,OL,OL,4,Roster year 4,76,329,transfer_in,Texas,0.84,3,2026-01-12T02:20:00.000Z,Immediate
4702822,Curlee Thomas IV,DL,DL,4,Roster year 4,76,259,transfer_in,California,,3,2026-01-09T01:26:00.000Z,Immediate
4801307,Tayven Jackson,QB,QB,4,Roster year 4,76,212,transfer_in,UCF,0.86,3,2026-01-12T20:05:47.000Z,Immediate
4827049,Max Reese,TE,TE,4,Roster year 4,74,245,transfer_in,Mississippi State,,3,2026-01-10T16:46:00.000Z,Immediate
4839483,Zakye Barker,LB,LB,4,Roster year 4,71,225,transfer_in,SMU,0.85,3,2026-01-15T15:00:00.000Z,Immediate
4869240,Aaron Alexander,LB,LB,4,Roster year 4,73,236,transfer_in,Arkansas State,0.84,3,2026-01-09T22:17:00.000Z,Immediate
4870614,Justin Benton,DL,DL,4,Roster year 4,72,298,transfer_in,East Carolina,,3,2026-01-11T03:34:00.000Z,Immediate
4870651,Avion Carter,DL,DL,4,Roster year 4,76,270,returning,,,,,
4870844,Andy Jean,WR,WR,4,Roster year 4,73,181,new_other,,,,,
4871056,Johnny Williams IV,OL,OL,4,Roster year 4,79,329,transfer_in,Missouri,,3,2026-01-08T16:48:00.000Z,Immediate
4909259,Chandler Strong,OL,OL,4,Roster year 4,73,288,transfer_in,Georgia Southern,0.85,3,2026-01-07T01:41:28.000Z,Immediate
4911971,Jahiem White,RB,RB,4,Roster year 4,67,187,transfer_in,West Virginia,0.86,3,2026-01-08T04:10:49.000Z,Immediate
4917338,Connor Vaughn,TE,TE,4,Roster year 4,76,262,returning,,,,,
4918418,Caden Jenkins,CB,DB,4,Roster year 4,73,177,transfer_in,Baylor,,3,2026-01-08T02:28:00.000Z,Immediate
4923291,Cameren Jenkins,S,DB,4,Roster year 4,72,199,transfer_in,Baylor,,,2026-01-10T01:06:00.000Z,Immediate
4927787,Chantz Johnson,LB,LB,4,Roster year 4,73,231,transfer_in,Texas State,0.85,3,2026-01-12T23:04:00.000Z,Immediate
5043473,Dylan Shaw,OL,OL,4,Roster year 4,76,320,returning,,,,,
5077695,Taylor Starling,CB,DB,4,Roster year 4,69,181,returning,,,,,
5079292,Jaden Allen,CB,DB,3,Roster year 3,70,170,transfer_in,Arkansas,0.84,3,2026-01-13T22:32:00.000Z,Immediate
5080479,Taye Seymore,S,DB,4,Roster year 4,71,206,transfer_in,Auburn,,3,2026-01-08T16:43:02.000Z,Immediate
5081966,Colin Page,RB,RB,4,Roster year 4,71,215,transfer_in,Texas,,,2026-01-09T22:26:00.000Z,Immediate
5081970,Graham Gillespie,S,DB,4,Roster year 4,73,201,transfer_in,Texas,,,2026-01-10T01:16:00.000Z,Immediate
5084394,Nolan Clark,DL,DL,4,Roster year 4,74,292,new_other,,,,,
5084944,Christian Lorenzo,DL,DL,4,Roster year 4,75,297,transfer_in,Illinois State,0.85,3,2026-01-12T23:37:28.000Z,Immediate
5085503,Grayson O'Bara,WR,WR,4,Roster year 4,73,202,transfer_in,Dartmouth,0.8,3,2026-01-26T02:20:00.000Z,Immediate
5085723,Udoka Ezeani,DL,DL,4,Roster year 4,73,218,transfer_in,UTEP,0.84,3,2026-01-22T02:25:00.000Z,Immediate
5092439,David Onuoha,DL,DL,4,Roster year 4,73,239,transfer_in,Massachusetts,0.83,3,2026-01-27T17:34:00.000Z,Immediate
5099741,Demetrie Morgan,DL,DL,4,Roster year 4,77,230,returning,,,,,
5103852,Dalton Carnes,WR,WR,4,Roster year 4,69,176,returning,,,,,
5108224,Willie Goodacre,OL,OL,3,Roster year 3,77,335,returning,,,,,
5108225,Josiah Martin,WR,WR,3,Roster year 3,71,173,transfer_in,Oklahoma,,3,2026-01-09T22:19:00.000Z,Immediate
5122082,Justin Stevenson,WR,WR,4,Roster year 4,74,196,transfer_in,Utah,,3,2026-01-11T03:10:00.000Z,Immediate
5125905,Corri Milliner,WR,WR,4,Roster year 4,74,170,transfer_in,UAB,0.83,3,2026-01-16T21:53:00.000Z,TBD
5147217,Jason Cross Jr.,S,DB,3,Roster year 3,73,178,transfer_in,West Virginia,,3,2026-01-07T23:11:00.000Z,Immediate
5147343,Julian Knox Sr.,S,DB,3,Roster year 3,75,220,returning,,,,,
5149220,Baron Tipton,WR,WR,3,Roster year 3,77,206,returning,,,,,
5150777,Ian Ratliff,P,ST,4,Roster year 4,71,185,transfer_in,App State,,,2026-01-07T23:14:00.000Z,Immediate
5150792,Kamdon McFarland,S,DB,4,Roster year 4,72,211,returning,,,,,
5150796,Keon Johnson,OL,OL,4,Roster year 4,76,370,returning,,,,,
5155427,Jahzari Priester,OL,OL,4,Roster year 4,78,325,transfer_in,Virginia Tech,,,2026-01-11T23:33:00.000Z,Immediate
5155720,Victor Aderungboye,TE,TE,3,Roster year 3,75,247,returning,,,,,
5156236,Jackson Muckelroy,WR,WR,4,Roster year 4,76,211,returning,,,,,
5159360,James Tyre,WR,WR,4,Roster year 4,68,171,transfer_in,Western Carolina,0.84,3,2026-01-12T17:42:00.000Z,Immediate
5160105,Ryan Krueger,OL,OL,4,Roster year 4,74,304,returning,,,,,
5163636,TJ Chukwurah,WR,WR,4,Roster year 4,71,202,transfer_in,Black Hills State,0.84,3,2026-01-18T05:33:00.000Z,Immediate
5165540,Keelene Bradley,LB,LB,4,Roster year 4,75,237,returning,,,,,
5165725,Steven Curtis,DL,DL,4,Roster year 4,77,264,transfer_in,Minnesota,,3,2026-01-12T00:39:00.000Z,Immediate
5175092,Chris Jimerson Jr.,QB,QB,2,Roster year 2,70,175,returning,,,,,
5178689,CJ Coombes,S,DB,4,Roster year 4,73,212,transfer_in,Wofford,0.85,3,2026-01-06T15:02:00.000Z,Immediate
5193097,Amarion Berry,OL,OL,3,Roster year 3,74,296,returning,,,,,
