id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4612402,Ian Shewell,DL,DL,4,Roster year 4,75,280,transfer_in,Arizona State,0.82,3,2026-01-15T23:24:00.000Z,Immediate
4685254,Jabari Bates,RB,RB,4,Roster year 4,67,180,returning,,,,,
4685396,Anthony Ivey,WR,WR,4,Roster year 4,71,190,transfer_in,Penn State,0.85,3,2026-01-18T05:45:00.000Z,Immediate
4685536,Dejon Roney,DL,DL,4,Roster year 4,73,295,returning,,,,,
4701313,Nate Lewis,DL,DL,4,Roster year 4,77,260,returning,,,,,
4870662,Isaiah Carlson,RB,RB,3,Roster year 3,74,220,new_other,,,,,
4870677,Maliki Crawford,S,DB,3,Roster year 3,76,190,returning,,,,,
4870994,Malachi Riley,WR,WR,3,Roster year 3,73,170,returning,,,,,
4875542,Justin Stearns,DL,DL,4,Roster year 4,74,250,returning,,,,,
4906882,Kejuan Bullard Jr.,CB,DB,4,Roster year 4,73,200,returning,,,,,
4920229,Jerry McClure,WR,WR,3,Roster year 3,73,195,transfer_in,San Diego State,,3,2026-01-09T04:37:00.000Z,Immediate
5079299,Jordan Anderson,WR,WR,2,Roster year 2,71,170,new_other,,,,,
5079685,Manuel Serna,OL,OL,2,Roster year 2,77,295,returning,,,,,
5082592,Ethan Powell,LB,LB,4,Roster year 4,74,230,returning,,,,,
5082598,Joseph Harbert,OL,OL,4,Roster year 4,75,290,returning,,,,,
5083138,Brian Dukes Jr.,S,DB,4,Roster year 4,75,215,transfer_in,Cal Poly,0.84,3,2026-01-14T00:04:00.000Z,Immediate
5083860,Dylan Aguilera,LS,ST,4,Roster year 4,70,210,transfer_in,Lafayette,,,2026-02-03T00:11:00.000Z,Immediate
5085193,Trent Carrizosa,P,ST,4,Roster year 4,76,235,returning,,,,,
