id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4567748,Sam Huard,QB,QB,4,Roster year 4,73,205,returning,,,,,
4570478,Dylan Black,LS,ST,4,Roster year 4,73,220,new_other,,,,,
4587870,Zuriah Fisher,DE,DL,4,Roster year 4,76,265,transfer_in,Penn State,0.92,4,2026-01-12T20:31:00.000Z,Immediate
4683061,Prophet Brown,CB,DB,4,Roster year 4,71,190,returning,,,,,
4685454,Jayden Maiava,QB,QB,4,Roster year 4,76,230,returning,,,,,
4685561,Alex VanSumeren,DT,DL,4,Roster year 4,74,300,transfer_in,Michigan State,0.89,3,2026-01-06T22:34:00.000Z,Immediate
4870812,Jamaal Jarrett,DT,DL,3,Roster year 3,77,360,returning,,,,,
4870993,Braylan Shelby,DE,DL,4,Roster year 4,77,260,returning,,,,,
4870996,Ta'Mere Robinson,LB,LB,3,Roster year 3,75,240,returning,,,,,
4878180,Nate Hillenburg,P,ST,4,Roster year 4,76,220,new_other,,,,,
4905248,Carson Tabaracci,TE,TE,4,Roster year 4,73,230,returning,,,,,
4913037,Jontez Williams,CB,DB,4,Roster year 4,70,200,transfer_in,Iowa State,0.93,4,2026-01-04T18:30:00.000Z,Immediate
4918438,Elijah Paige,OL,OL,3,Roster year 3,79,315,returning,,,,,
4921312,Christian Pierce,S,DB,4,Roster year 4,73,205,returning,,,,,
4921410,Alani Noa,OL,OL,4,Roster year 4,75,315,returning,,,,,
4923048,Deven Bryant,LB,LB,3,Roster year 3,71,230,transfer_in,Washington,0.87,3,2026-01-04T18:28:00.000Z,Immediate
5032961,Tucker Ashcraft,TE,TE,3,Roster year 3,77,260,transfer_in,Wisconsin,0.88,3,2026-01-15T04:28:00.000Z,Immediate
5076127,Tobias Raymond,OL,OL,3,Roster year 3,78,310,returning,,,,,
5079407,Marquis Gallegos,S,DB,2,Roster year 2,72,195,returning,,,,,
5079510,Walter Matthews,TE,TE,2,Roster year 2,78,305,returning,,,,,
5079706,Isaiah Rubin,S,DB,2,Roster year 2,71,195,returning,,,,,
5079739,Marcelles Williams,CB,DB,2,Roster year 2,71,190,returning,,,,,
5084407,Ryan O'Connell,LB,LB,4,Roster year 4,73,230,new_other,,,,,
5084658,Terrell Anderson,WR,WR,3,Roster year 3,74,200,transfer_in,NC State,0.94,4,2026-01-05T17:13:00.000Z,Immediate
5085031,Roman Marchetti,LB,LB,4,Roster year 4,74,225,returning,,,,,
5085032,Kilian O'Connor,OL,OL,4,Roster year 4,73,300,returning,,,,,
5088127,Ryan Pauley,OL,OL,4,Roster year 4,74,320,new_other,,,,,
5110020,Kennedy Urlacher,S,DB,3,Roster year 3,71,200,returning,,,,,
5110458,Justin Tauanuu,OL,OL,2,Roster year 2,78,310,returning,,,,,
5110498,Desman Stephens II,LB,LB,3,Roster year 3,75,250,returning,,,,,
5132218,Kameryn Crawford,DE,DL,3,Roster year 3,77,255,returning,,,,,
5138455,Jide Abasiri,DT,DL,3,Roster year 3,77,280,returning,,,,,
5141468,Alex Graham,CB,DB,1,Roster year 1,72,195,returning,,,,,
5141644,Kendarius Reddick,S,DB,2,Roster year 2,71,190,returning,,,,,
5141975,Tanook Hines,WR,WR,2,Roster year 2,72,190,returning,,,,,
5144164,Riley Wormley,RB,RB,1,Roster year 1,69,190,returning,,,,,
