id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
4596437,AJ Green Jr.,RB,RB,4,Roster year 4,70,216,new_other,,,,,
4687453,Jori Benson,DT,DL,4,Roster year 4,75,290,returning,,,,,
4709449,Domanick Moon,LB,LB,4,Roster year 4,74,235,returning,,,,,
4814926,Hunter Whitenack,OL,OL,4,Roster year 4,78,340,returning,,,,,
4816083,Daeh McCullough,S,DB,3,Roster year 3,73,180,transfer_in,Louisville,0.84,3,2026-01-23T17:11:00.000Z,Immediate
4833019,Dakari Frazier,DL,DL,3,Roster year 3,75,280,returning,,,,,
4868896,DeJuan Echoles Jr.,DE,DL,4,Roster year 4,73,235,transfer_in,Ball State,0.82,3,2026-01-13T16:48:00.000Z,Immediate
4869526,Dillon Moore,LB,LB,4,Roster year 4,74,223,returning,,,,,
4882000,Chad Schuster,OL,OL,4,Roster year 4,78,305,returning,,,,,
4910683,August Johanningsmeier,DE,DL,4,Roster year 4,76,280,returning,,,,,
4912229,Palmer Domschke,PK,ST,4,Roster year 4,70,186,returning,,,,,
4917858,Cole Cabana,RB,RB,3,Roster year 3,71,197,returning,,,,,
4954514,Brennan Wooten,TE,TE,4,Roster year 4,76,250,returning,,,,,
5074245,Broc Lowry,QB,QB,3,Roster year 3,73,210,returning,,,,,
5075962,Baylin Brooks,WR,WR,3,Roster year 3,73,207,returning,,,,,
5079700,Ben Roebuck,OL,OL,2,Roster year 2,79,330,transfer_in,Michigan,,3,2026-01-08T16:25:00.000Z,Immediate
5081838,Blair Alexander,DT,DL,4,Roster year 4,74,270,new_other,,,,,
5085006,Jalen Buckley,RB,RB,4,Roster year 4,71,225,returning,,,,,
5085007,Will Gerig,DE,DL,4,Roster year 4,76,250,returning,,,,,
5085008,Brandon Smith,OL,OL,4,Roster year 4,76,315,new_other,,,,,
5086095,Terence Marshall,WR,WR,2,Roster year 2,74,192,returning,,,,,
5086219,Jarvarius Sims,CB,DB,4,Roster year 4,72,188,returning,,,,,
5092242,Joshua Franklin,DB,DB,4,Roster year 4,72,175,returning,,,,,
5095224,Tahj Owens,S,DB,4,Roster year 4,72,205,transfer_in,Princeton,0.84,3,2026-01-20T17:15:00.000Z,Immediate
5097172,Kouri Crump,S,DB,4,Roster year 4,75,205,transfer_in,VMI,0.84,3,2026-01-07T03:33:00.000Z,Immediate
5109794,Dalton Gustwiller,DL,DL,3,Roster year 3,75,305,returning,,,,,
5121636,Adam Parks,TE,TE,3,Roster year 3,76,245,transfer_in,New Mexico State,0.79,2,2026-01-12T17:22:00.000Z,Immediate
5125739,Joey Pope,S,DB,3,Roster year 3,71,165,returning,,,,,
5126475,Trey Petty,QB,QB,2,Roster year 2,72,200,transfer_in,Illinois,0.83,3,2026-01-10T20:55:00.000Z,Immediate
5144956,Ryan Brotherton,TE,TE,2,Roster year 2,76,228,returning,,,,,
5145473,Mason Reynolds,QB,QB,2,Roster year 2,73,220,returning,,,,,
5147055,Carlos Mitchell Jr.,CB,DB,2,Roster year 2,69,175,new_other,,,,,
5148828,Gavin Dabo,OL,OL,2,Roster year 2,77,305,returning,,,,,
5150707,Ryan Millmore,P,ST,3,Roster year 3,75,200,returning,,,,,
5153248,Jordon Thomas,CB,DB,4,Roster year 4,72,181,returning,,,,,
5155273,Egypt Nelson,WR,WR,3,Roster year 3,76,200,returning,,,,,
5156344,Micah Davis,S,DB,3,Roster year 3,73,200,returning,,,,,
5157493,Willard Ferrell,CB,DB,4,Roster year 4,73,155,transfer_in,Presbyterian,0.84,3,2026-01-22T16:55:00.000Z,Immediate
5157528,Nate Levicki,TE,TE,4,Roster year 4,74,245,new_other,,,,,
5164351,Aveion Chenault,WR,WR,2,Roster year 2,72,190,returning,,,,,
5167169,Freddy Brown,LB,LB,1,Roster year 1,71,215,returning,,,,,
5178602,Noah Bishop,DE,DL,2,Roster year 2,76,245,returning,,,,,
5191778,Jeremy Schleicher,OL,OL,2,Roster year 2,75,305,returning,,,,,
5193129,CJ Miles Jr.,S,DB,2,Roster year 2,73,201,returning,,,,,
5195950,Brenden Anes,LB,LB,2,Roster year 2,74,233,transfer_in,Tennessee,,3,2026-01-08T18:00:00.000Z,Immediate
5211210,Brady Rhoad,TE,TE,1,Roster year 1,75,235,returning,,,,,
5215309,Spencer Beckeman,OL,OL,1,Roster year 1,77,305,returning,,,,,
5216784,Gian Carter,DL,DL,1,Roster year 1,75,231,returning,,,,,
5218736,Emazon Littlejohn,WR,WR,2,Roster year 2,72,188,transfer_in,South Carolina,,,2026-01-05T17:37:00.000Z,Immediate
