team,side,slot,name,position,value,source,origin
Texas Tech,offense,QB,Brendan Sorsby,QB,199.22,transfer,Cincinnati
Texas Tech,offense,RB,J'Koby Williams,RB,51.87,returning,
Texas Tech,offense,WR1,Kenny Johnson,WR,41.75,transfer,Pittsburgh
Texas Tech,offense,WR2,Coy Eakin,WR,39.22,returning,
Texas Tech,offense,WR3,Donte Lee Jr.,WR,32.25,transfer,Liberty
Texas Tech,offense,TE,Jett Carpenter,TE,14.15,transfer,Nevada
Texas Tech,offense,OL1,,,,,
Texas Tech,offense,OL2,,,,,
Texas Tech,offense,OL3,,,,,
Texas Tech,offense,OL4,,,,,
Texas Tech,offense,OL5,,,,,
Texas Tech,defense,DL1,Julien Laventure,DL,27.25,transfer,Akron
Texas Tech,defense,DL2,Jojo Johnson,DL,21.05,transfer,Oregon State
Texas Tech,defense,DL3,Bryce Butler,DL,11.75,transfer,Washington
Texas Tech,defense,DL4,Jayden Cofield,DL,11.5,returning,
Texas Tech,defense,LB1,Adam Trick,LB,45.7,transfer,Miami (OH)
Texas Tech,defense,LB2,Trey White,LB,34.7,transfer,San Diego State
Texas Tech,defense,LB3,Ben Roberts,LB,34.55,returning,
Texas Tech,defense,DB1,Brice Pollock,CB,32.45,returning,
Texas Tech,defense,DB2,Brenden Jordan,S,13.15,returning,
Texas Tech,defense,DB3,Davin Martin,CB,9.6,transfer,UTSA
Texas Tech,defense,DB4,Peyton Morgan,S,5.6,returning,
Oklahoma State,offense,QB,Drew Mestemaker,QB,233.13,transfer,North Texas
Oklahoma State,offense,RB,Caleb Hawkins,RB,115.13,transfer,North Texas
Oklahoma State,offense,WR1,Wyatt Young,WR,88.47,transfer,North Texas
Oklahoma State,offense,WR2,Miles Coleman,WR,39.03,transfer,North Texas
Oklahoma State,offense,WR3,Justin Bowick,WR,25.95,transfer,Illinois
Oklahoma State,offense,TE,Donovan Green,TE,4.43,transfer,LSU
Oklahoma State,offense,OL1,,,,,
Oklahoma State,offense,OL2,,,,,
Oklahoma State,offense,OL3,,,,,
Oklahoma State,offense,OL4,,,,,
Oklahoma State,offense,OL5,,,,,
Oklahoma State,defense,DL1,Keviyan Huddleston,DE,22.85,transfer,North Texas
Oklahoma State,defense,DL2,Saadiq Clements,DT,13.25,transfer,North Texas
Oklahoma State,defense,DL3,DJ Jackson Jr.,DE,13.2,transfer,Troy
Oklahoma State,defense,DL4,James Williams,DE,10.4,transfer,Florida State
Oklahoma State,defense,LB1,Ethan Wesloski,LB,35.3,transfer,North Texas
Oklahoma State,defense,LB2,Isaiah Chisom,LB,13.9,transfer,UCLA
Oklahoma State,defense,LB3,Trip White,LB,7.9,returning,
Oklahoma State,defense,DB1,Quinton Hammonds,S,24.65,transfer,North Texas
Oklahoma State,defense,DB2,LaDainian Fields,CB,17.85,returning,
Oklahoma State,defense,DB3,Evan Jackson,S,16.15,transfer,North Texas
Oklahoma State,defense,DB4,Christian Bodnar,S,12.4,transfer,Liberty
Oregon,offense,QB,Dante Moore,QB,194.65,returning,
Oregon,offense,RB,Jordon Davison,RB,49.59,returning,
Oregon,offense,WR1,Iverson Hooks,WR,58.51,transfer,UAB
Oregon,offense,WR2,Jeremiah McClellan,WR,31.43,returning,
Oregon,offense,WR3,Dakorien Moore,WR,27.66,returning,
Oregon,offense,TE,Jamari Johnson,TE,45.01,returning,
Oregon,offense,OL1,,,,,
Oregon,offense,OL2,,,,,
Oregon,offense,OL3,,,,,
Oregon,offense,OL4,,,,,
Oregon,offense,OL5,,,,,
Oregon,defense,DL1,A'Mauri Washington,DL,22.8,returning,
Oregon,defense,DL2,Bear Alexander,DL,19.5,returning,
Oregon,defense,DL3,Jerome Simmons,DL,2.25,transfer,UL Monroe
Oregon,defense,DL4,Aydin Breland,DL,1.75,returning,
Oregon,defense,LB1,Teitum Tuioti,LB,50.05,returning,
Oregon,defense,LB2,Jerry Mixon,LB,34.95,returning,
Oregon,defense,LB3,Matayo Uiagalelei,LB,30.9,returning,
Oregon,defense,DB1,Brandon Finney Jr.,DB,33.45,returning,
Oregon,defense,DB2,Koi Perich,DB,25.2,transfer,Minnesota
Oregon,defense,DB3,Aaron Flowers,DB,15.65,returning,
Oregon,defense,DB4,Ify Obidegwu,DB,13.75,returning,
LSU,offense,QB,Sam Leavitt,QB,97.22,transfer,Arizona State
LSU,offense,RB,Caden Durham,RB,10.69,returning,
LSU,offense,WR1,Tre' Brown III,WR,55.18,transfer,Old Dominion
LSU,offense,WR2,Jackson Harris,WR,51.28,transfer,Hawai'i
LSU,offense,WR3,Jayce Brown,WR,47.37,transfer,Kansas State
LSU,offense,TE,Dae'Quan Wright,TE,39.27,transfer,Ole Miss
LSU,offense,OL1,,,,,
LSU,offense,OL2,,,,,
LSU,offense,OL3,,,,,
LSU,offense,OL4,,,,,
LSU,offense,OL5,,,,,
LSU,defense,DL1,Princewill Umanmielen,DE,43.75,transfer,Ole Miss
LSU,defense,DL2,Zxavian Harris,DT,32.55,transfer,Ole Miss
LSU,defense,DL3,Jordan Ross,DE,13.9,transfer,Tennessee
LSU,defense,DL4,Junior Tuihalamaka,DL,11.7,transfer,Notre Dame
LSU,defense,LB1,TJ Dottery,LB,22.55,transfer,Ole Miss
LSU,defense,LB2,Davhon Keys,LB,20.15,returning,
LSU,defense,LB3,Whit Weeks,LB,11.7,returning,
LSU,defense,DB1,Ty Benefield,S,33.5,transfer,Boise State
LSU,defense,DB2,P.J. Woodland,CB,24.05,returning,
LSU,defense,DB3,Dashawn Spears,S,23.3,returning,
LSU,defense,DB4,DJ Pickett,CB,22.75,returning,
Ole Miss,offense,QB,Trinidad Chambliss,QB,236.9,returning,
Ole Miss,offense,RB,Kewan Lacy,RB,58.37,returning,
Ole Miss,offense,WR1,Johntay Cook II,WR,34.62,transfer,Syracuse
Ole Miss,offense,WR2,Deuce Alexander,WR,30.66,returning,
Ole Miss,offense,WR3,Darrell Gill Jr.,WR,21.74,transfer,Syracuse
Ole Miss,offense,TE,Caleb Odom,TE,11.8,returning,
Ole Miss,offense,OL1,,,,,
Ole Miss,offense,OL2,,,,,
Ole Miss,offense,OL3,,,,,
Ole Miss,offense,OL4,,,,,
Ole Miss,offense,OL5,,,,,
Ole Miss,defense,DL1,Jonathan Maldonado,DE,36.8,transfer,Nevada
Ole Miss,defense,DL2,Blake Purchase,DE,18.7,transfer,Oregon
Ole Miss,defense,DL3,Michai Boireau,DT,10.0,transfer,Florida
Ole Miss,defense,DL4,Jamarious Brown,DT,7.15,returning,
