number,name,position,positionGroup,side,classRaw,classLabel,eligibilityBucket,height,heightInches,weight,weightPounds,previousSchool,rosterSource
0,Kendrick Bell,WR,WR,Offense,Sr.,Senior,Senior / Graduate,6' 2'',74,202,202.0,,returning_2025
0,Jyaire Hill,CB,DB,Defense,Sr.,Senior,Senior / Graduate,6' 2'',74,190,190.0,,returning_2025
1,Rod Moore,S,DB,Defense,Gr.,Graduate,Senior / Graduate,5' 11'',71,190,190.0,,returning_2025
2,Shamari Earls,CB,DB,Defense,So.,Sophomore,Sophomore eligibility,6' 2'',74,195,195.0,,returning_2025
3,Andrew Marsh,WR,WR,Offense,So.,Sophomore,Sophomore eligibility,6' 1'',73,192,192.0,,returning_2025
3,Smith Snowden,CB,DB,Defense,Sr.,Senior,Senior / Graduate,5' 10'',70,188,188.0,,newcomer_unclassified
4,Chase Taylor,LB,LB,Defense,So.,Sophomore,Sophomore eligibility,6' 2'',74,222,222.0,,returning_2025
5,Jacob Oden,S,DB,Defense,Jr.,Junior,Junior eligibility,6' 0'',72,195,195.0,,returning_2025
5,Savion Hiter,RB,RB,Offense,Fr.,Freshman,Freshman eligibility,5' 11'',71,212,212.0,,newcomer_unclassified
6,Jordan Young,S,DB,Defense,So.,Sophomore,Sophomore eligibility,5' 11'',71,193,193.0,,returning_2025
6,JJ Buchanan,WR,WR,Offense,So.,Sophomore,Sophomore eligibility,6' 4'',76,218,218.0,,newcomer_unclassified
7,Chris Bracy,S,DB,Defense,Jr.,Junior,Junior eligibility,6' 1'',73,200,200.0,,newcomer_unclassified
8,Dom Nichols,DE,DL,Defense,Jr.,Junior,Junior eligibility,6' 5'',77,245,245.0,,returning_2025
9,Channing Goodwin,WR,WR,Offense,Jr.,Junior,Junior eligibility,6' 1'',73,192,192.0,,returning_2025
9,Cam Brandt,DE,DL,Defense,Sr.,Senior,Senior / Graduate,6' 3'',75,270,270.0,,returning_2025
10,Zeke Berry,CB,DB,Defense,Gr.,Graduate,Senior / Graduate,5' 11'',71,188,188.0,,returning_2025
10,Jaime Ffrench,WR,WR,Offense,So.,Sophomore,Sophomore eligibility,6' 2'',74,185,185.0,,newcomer_unclassified
12,Nathaniel Owusu-Boateng,LB,LB,Defense,So.,Sophomore,Sophomore eligibility,6' 1'',73,216,216.0,,returning_2025
12,Salesi Moa,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,6' 2'',74,186,186.0,,newcomer_unclassified
13,Travis Johnson,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,6' 3'',75,185,185.0,,newcomer_unclassified
13,Aisea Moa,LB,LB,Defense,Gr.,Graduate,Senior / Graduate,6' 2'',74,235,235.0,,newcomer_unclassified
14,Tommy Carr,QB,QB,Offense,Fr.,Freshman,Freshman eligibility,6' 4'',76,195,195.0,,newcomer_unclassified
14,Carter Meadows,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6' 7'',79,252,252.0,,newcomer_unclassified
15,Chase Herbstreit,QB,QB,Offense,So.,Sophomore,Sophomore eligibility,6' 1'',73,210,210.0,,returning_2025
15,Aden Reeder,LB,LB,Defense,Fr.,Freshman,Freshman eligibility,6' 2'',74,223,223.0,,newcomer_unclassified
16,Jo'Ziah Edmond,CB,DB,Defense,Jr.,Junior,Junior eligibility,6' 1'',73,185,185.0,,returning_2025
16,Brayden Fowler-Nicolosi,QB,QB,Offense,Gr.,Graduate,Senior / Graduate,6' 3'',75,212,212.0,,newcomer_unclassified
17,Enow Etta,DT,DL,Defense,Sr.,Senior,Senior / Graduate,6' 5'',77,328,328.0,,returning_2025
17,Brady Smigiel,QB,QB,Offense,Fr.,Freshman,Freshman eligibility,6' 4'',76,217,217.0,,newcomer_unclassified
18,Troy Bowles,LB,LB,Defense,Sr.,Senior,Senior / Graduate,6' 0'',72,224,224.0,,returning_2025
18,Mason Bonner,TE,TE,Offense,Fr.,Freshman,Freshman eligibility,6' 7'',79,229,229.0,,newcomer_unclassified
19,Bryce Underwood,QB,QB,Offense,So.,Sophomore,Sophomore eligibility,6' 4'',76,230,230.0,,returning_2025
20,I'Marion Stewart,CB,DB,Defense,Jr.,Junior,Junior eligibility,5' 10'',70,175,175.0,,returning_2025
20,Jaylen Pile,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,6' 0'',72,196,196.0,,newcomer_unclassified
22,Jordan Deck,S,DB,Defense,Fr.,Freshman,Freshman eligibility,6' 1'',73,195,195.0,,newcomer_unclassified
22,Braydon Alford,WR,WR,Offense,Jr.,Junior,Junior eligibility,5' 8'',68,180,180.0,,newcomer_unclassified
23,Jordan Marshall,RB,RB,Offense,Jr.,Junior,Junior eligibility,5' 10'',70,220,220.0,,returning_2025
23,Markel Dabney,LB,LB,Defense,Fr.,Freshman,Freshman eligibility,6' 0'',72,241,241.0,,newcomer_unclassified
24,Bryson Kuzdzal,RB,RB,Offense,Sr.,Senior,Senior / Graduate,5' 11'',71,205,205.0,,returning_2025
24,Jamarion Vincent,CB,DB,Defense,Fr.,Freshman,Freshman eligibility,6' 2'',74,169,169.0,,newcomer_unclassified
25,Mason Curtis,S,DB,Defense,Jr.,Junior,Junior eligibility,6' 4'',76,215,215.0,,returning_2025
25,Micah Ka'apana,RB,RB,Offense,Jr.,Junior,Junior eligibility,5' 10'',70,192,192.0,,returning_2025
26,Donovan Johnson,RB,RB,Offense,So.,Sophomore,Sophomore eligibility,6' 0'',72,220,220.0,,returning_2025
27,Ernest Nunley,S,DB,Defense,Fr.,Freshman,Freshman eligibility,6' 1'',73,186,186.0,,newcomer_unclassified
28,Kainoa Winston,S,DB,Defense,So.,Sophomore,Sophomore eligibility,5' 10'',70,202,202.0,,returning_2025
29,Jonathan Brown,RB,RB,Offense,Fr.,Freshman,Freshman eligibility,6' 0'',72,196,196.0,,newcomer_unclassified
30,Max Alford,LB,LB,Defense,Gr.,Graduate,Senior / Graduate,6' 2'',74,235,235.0,,newcomer_unclassified
31,Nico Andrighetto,S,DB,Defense,Gr.,Graduate,Senior / Graduate,5' 9'',69,195,195.0,,returning_2025
32,Jeremiah Lowe,CB,DB,Defense,Jr.,Junior,Junior eligibility,5' 10'',70,182,182.0,,returning_2025
32,Gary Stacy,RB,RB,Offense,So.,Sophomore,Sophomore eligibility,6' 1'',73,207,207.0,,newcomer_unclassified
33,Kaden Catchings,LB,LB,Defense,Fr.,Freshman,Freshman eligibility,6' 1'',73,220,220.0,,newcomer_unclassified
33,Cam Brown,P,ST,Special Teams,So.,Sophomore,Sophomore eligibility,6' 3'',75,185,185.0,,newcomer_unclassified
34,John Weidenbach,LB,LB,Defense,Sr.,Senior,Senior / Graduate,5' 11'',71,216,216.0,,returning_2025
35,Stuart Blake,K,ST,Special Teams,Jr.,Junior,Junior eligibility,6' 1'',73,183,183.0,,returning_2025
35,Ndi Etta,LB,LB,Defense,Fr.,Freshman,Freshman eligibility,6' 1'',73,215,215.0,,newcomer_unclassified
36,Josh Nichols,CB,DB,Defense,Gr.,Graduate,Senior / Graduate,5' 10'',70,215,215.0,,returning_2025
36,Tomas O'Meara,RB,RB,Offense,Jr.,Junior,Junior eligibility,5' 10'',70,197,197.0,,returning_2025
37,Julius Holly,DE,DL,Defense,So.,Sophomore,Sophomore eligibility,6' 3'',75,234,234.0,,returning_2025
38,Bryce Wilcox,WR,WR,Offense,Gr.,Graduate,Senior / Graduate,5' 10'',70,180,180.0,,returning_2025
38,Sam Baron,CB,DB,Defense,Sr.,Senior,Senior / Graduate,6' 1'',73,192,192.0,,newcomer_unclassified
39,Max Reyes,S,DB,Defense,Gr.,Graduate,Senior / Graduate,5' 11'',71,195,195.0,,returning_2025
40,Jimmy Pisani,TE,TE,Offense,Sr.,Senior,Senior / Graduate,6' 4'',76,236,236.0,,newcomer_unclassified
41,Tariq Boney,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6' 1'',73,243,243.0,,newcomer_unclassified
42,Jeffrey Chukwu,CB,DB,Defense,Jr.,Junior,Junior eligibility,6' 1'',73,204,204.0,,returning_2025
42,Jalen Hoffman,TE,TE,Offense,Sr.,Senior,Senior / Graduate,6' 3'',75,247,247.0,,returning_2025
43,Zach Ludwig,LB,LB,Defense,Jr.,Junior,Junior eligibility,6' 2'',74,219,219.0,,returning_2025
43,Jack Treutelaar,LS,ST,Special Teams,Fr.,Freshman,Freshman eligibility,6' 0'',72,210,210.0,,newcomer_unclassified
44,Eli Owens,TE,TE,Offense,So.,Sophomore,Sophomore eligibility,6' 1'',73,247,247.0,,returning_2025
44,Nathaniel Staehling,LB,LB,Defense,Gr.,Graduate,Senior / Graduate,6' 3'',75,241,241.0,,newcomer_unclassified
46,Crandall Quinn,TE,TE,Offense,Sr.,Senior,Senior / Graduate,6' 2'',74,242,242.0,,returning_2025
46,Gavin Magorien,LS,ST,Special Teams,So.,Sophomore,Sophomore eligibility,5' 11'',71,210,210.0,,newcomer_unclassified
49,Adam Bazzi,LB,LB,Defense,Jr.,Junior,Junior eligibility,5' 10'',70,220,220.0,,returning_2025
49,Nico Crawford,LS,ST,Special Teams,Gr.,Graduate,Senior / Graduate,6' 0'',72,230,230.0,,newcomer_unclassified
50,Luke Hamilton,OL,OL,Offense,Jr.,Junior,Junior eligibility,6' 3'',75,298,298.0,,returning_2025
51,McHale Blade,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6' 4'',76,255,255.0,,newcomer_unclassified
52,Ace Hamilton,OL,OL,Offense,Fr.,Freshman,Freshman eligibility,6' 2'',74,288,288.0,,newcomer_unclassified
52,Christian Pierce,LB,LB,Defense,So.,Sophomore,Sophomore eligibility,6' 0'',72,225,225.0,,newcomer_unclassified
53,Jake Guarnera,OL,OL,Offense,Jr.,Junior,Junior eligibility,6' 3'',75,315,315.0,,returning_2025
54,Deyvid Palepale,DT,DL,Defense,Jr.,Junior,Junior eligibility,6' 2'',74,322,322.0,,returning_2025
54,Andrew Sprague,OL,OL,Offense,Jr.,Junior,Junior eligibility,6' 7'',79,310,310.0,,returning_2025
55,Nathan Efobi,OL,OL,Offense,Sr.,Senior,Senior / Graduate,6' 4'',76,303,303.0,,returning_2025
56,Alister Vallejo,DT,DL,Defense,Fr.,Freshman,Freshman eligibility,6' 3'',75,307,307.0,,newcomer_unclassified
57,Travis Moten,DT,DL,Defense,So.,Sophomore,Sophomore eligibility,6' 5'',77,330,330.0,,returning_2025
58,Malakai Lee,OL,OL,Offense,Fr.,Freshman,Freshman eligibility,6' 7'',79,359,359.0,,newcomer_unclassified
